ak,NN,O
arrest,IN,O
especially,DT,O
in,NN,O
a,IN,O
case,DT,O
involving,NN,O
capital,IN,B-LEGAL
punishment,PRP$,I-LEGAL
the,NN,O
case,RB,O
of,IN,O
us,DT,O
supreme,NN,O
court,VBG,O
in,NN,O
strickland,NN,O
v,DT,O
washington,NN,O
466,IN,O
us,PRP,O
688,JJ,O
1984,NN,O
was,IN,O
cited,NN,O
before,VBP,O
the,NN,O
delhi,CD,O
high,PRP,O
court,CD,O
and,CD,O
the,VBD,O
ld,VBN,O
counsel,IN,O
for,DT,O
the,NN,O
accused,JJ,O
in,NN,O
that,CC,O
case,DT,O
had,JJ,O
argued,NN,O
that,IN,O
the,DT,O
law,VBN,O
required,IN,O
a,DT,O
conviction,NN,O
to,VBD,O
be,VBN,O
set,IN,O
aside,DT,O
where,NN,O
counsel,VBD,O
s,DT,O
assistance,NN,O
was,TO,O
not,VB,O
provided,VBN,O
or,RB,O
was,WRB,O
ineffective,NN,O
hon,VBD,O
ble,NN,O
delhi,VBD,O
high,RB,O
court,VBN,O
took,CC,O
note,VBD,O
of,JJ,O
the,NN,O
observations,JJ,O
in,JJ,O
the,JJ,O
said,NN,O
case,VBD,O
as,NN,O
well,IN,O
as,DT,O
the,NNS,O
rulings,IN,O
of,DT,O
the,VBD,O
hon,NN,O
ble,RB,O
supreme,RB,O
court,IN,O
in,DT,O
the,NNS,O
case,IN,O
of,DT,O
manu,NN,O
sc,JJ,O
0374,JJ,O
1990manu,NN,O
sc,IN,O
0374,DT,O
1990,NN,O
1991,IN,O
1,NN,O
scc,NN,O
286,CD,O
kishore,CD,O
chand,NN,O
v,CD,O
state,CD,O
of,CD,O
himachal,CD,O
pradesh,NN,O
1931,CD,O
1,NN,O
scc,NN,O
627,NN,O
khatri,NN,O
and,IN,O
ors,NN,O
v,NN,O
state,CD,O
of,CD,O
bihar,NN,O
and,CD,O
ors,NN,O
manu,CC,O
sc,NNS,O
0122,VBP,O
1979manu,NN,O
sc,IN,O
0122,NN,O
1979,CC,O
1980,NNS,O
1,VBP,O
scc,JJ,O
108,CD,O
hussainara,CD,O
khatoon,NN,O
and,CD,O
ors,CD,O
v,CD,O
home,CD,O
secretary,NN,O
state,CD,O
of,NN,O
bihar,NN,O
manu,CC,O
sc,NNS,O
0138,VBP,O
1983manu,NN,O
sc,NN,O
0138,NN,O
1983,IN,O
1983,NN,O
3,NN,O
scc,NN,O
307,CD,O
rajan,CD,O
dwivedi,NN,O
v,CD,O
union,CD,O
of,CD,O
india,CD,O
manu,NN,O
sc,CD,O
0119,NN,O
1978manu,NN,O
sc,NNP,O
0119,NN,O
1978,IN,O
1978,JJ,O
3,NN,O
scc,NN,O
544,CD,O
madhav,CD,O
hayawadanrao,NN,O
hoskot,CD,O
v,CD,O
state,CD,O
of,CD,O
maharashtra,NN,O
while,CD,O
dealing,NN,O
with,NN,O
this,NN,O
issue,NN,O
it,NN,O
was,IN,O
however,NN,O
observed,IN,O
that,VBG,O
from,IN,O
hindsight,DT,O
it,NN,O
is,PRP,O
easy,VBD,O
to,RB,O
pick,VBN,O
wholes,IN,O
in,IN,O
the,NN,O
cross,PRP,O
examination,VBZ,O
conducted,JJ,O
but,TO,O
applying,VB,O
the,NNS,O
test,IN,O
in,DT,O
strickland,NN,O
s,NN,O
case,VBN,O
it,CC,O
cannot,VBG,O
be,DT,O
said,NN,O
that,IN,O
it,NN,O
was,NN,O
the,NN,O
constructive,PRP,O
denial,MD,O
of,RB,O
the,VB,O
counsels,VBD,O
to,IN,O
accused,PRP,O
mohd,VBD,O
afzal,DT,O
the,JJ,O
observations,NN,O
of,IN,O
the,DT,O
hon,NNS,O
ble,TO,O
delhi,VBN,O
high,NN,O
court,IN,O
were,DT,O
met,NNS,O
with,IN,O
the,DT,O
approval,NN,O
by,JJ,O
hon,JJ,O
ble,JJ,O
supreme,NN,O
court,VBD,O
when,VBN,O
the,IN,O
matter,DT,O
was,NN,O
decided,IN,O
by,NN,O
the,JJ,O
hon,JJ,O
ble,NN,O
apex,WRB,O
court,DT,O
by,NN,O
its,VBD,O
ruling,VBN,O
titled,IN,O
as,DT,O
state,NN,O
v,JJ,O
navjot,JJ,O
sandhu,NN,O
and,IN,O
ors,PRP$,O
manu,NN,O
sc,VBN,O
0465,IN,O
2005manu,NN,O
sc,NN,O
0465,NN,O
2005,NN,O
air,CC,O
2005,NNS,O
sc,VBP,O
3820,JJ,O
30,CD,O
the,CD,O
hon,NN,O
ble,CD,O
apex,CD,O
court,NN,O
after,CD,O
considering,NN,O
the,CD,O
facts,CD,O
of,DT,O
the,NN,O
case,JJ,O
nutshell,JJ,O
that,NN,O
we,IN,O
do,VBG,O
not,DT,O
think,NNS,O
that,IN,O
the,DT,O
court,NN,O
should,NN,O
dislodge,IN,O
the,PRP,O
counsel,VBP,O
and,RB,O
go,VB,O
on,IN,O
searching,DT,O
for,NN,O
some,MD,O
other,VB,O
counsel,DT,O
to,NN,O
the,CC,O
liking,VB,O
of,IN,O
the,VBG,O
accused,IN,O
the,DT,O
right,JJ,O
to,NN,O
legal,TO,O
aid,DT,O
cannot,NN,O
be,IN,O
taken,DT,O
thus,VBN,O
far,DT,O
while,NN,O
relying,TO,O
upon,JJ,O
the,NN,O
ruling,MD,O
in,RB,O
the,VB,O
case,VBN,O
strickland,RB,O
s,RB,O
supra,IN,O
the,VBG,O
hon,IN,O
ble,DT,O
supreme,NN,O
court,IN,O
observed,DT,O
that,NN,O
scrutiny,NN,O
of,NN,O
performance,VBD,O
of,DT,O
a,NN,O
counsel,JJ,O
who,JJ,O
has,NN,O
conducted,VBD,O
trial,IN,O
should,NN,O
be,IN,O
highly,NN,O
deferential,IN,O
xxx,DT,O
34,NN,O
it,WP,O
may,VBZ,O
be,VBN,O
noted,NN,O
that,MD,O
the,VB,O
recall,RB,O
of,JJ,O
io,NN,O
and,CD,O
prosecutrix,PRP,B-LEGAL
has,MD,O
been,VB,O
sought,VBN,O
on,IN,O
the,DT,O
ground,NN,O
besides,IN,O
others,NN,O
that,CC,O
she,NN,O
has,VBZ,O
to,VBN,O
be,VBN,O
questioned,IN,O
as,DT,O
to,NN,O
why,IN,O
she,NNS,O
did,IN,O
not,PRP,O
give,VBZ,O
her,TO,O
sim,VB,O
of,VBN,O
her,IN,O
mobile,TO,O
to,WRB,O
the,PRP,O
io,VBD,O
and,RB,O
why,VB,O
the,PRP$,O
io,NN,O
did,IN,O
not,PRP$,O
ask,NN,O
her,TO,O
for,DT,O
the,NN,O
same,CC,O
similarly,WRB,O
it,DT,O
has,NN,O
been,VBD,O
submitted,RB,O
that,VB,O
the,PRP,O
accused,IN,O
though,DT,O
admitted,JJ,O
his,NN,O
potency,PRP,O
report,VBZ,O
but,VBN,O
has,VBN,O
not,IN,O
admitted,DT,O
the,VBN,O
time,IN,O
and,VBN,O
process,PRP$,O
of,NN,O
the,NN,O
potency,CC,O
test,VBZ,O
as,RB,O
stated,VBN,O
by,DT,O
the,NN,O
io,CC,O
and,NN,O
thus,IN,O
the,DT,O
10,NN,O
needs,NN,O
to,IN,O
be,VBN,O
recalled,IN,O
further,DT,O
si,NN,O
sandeep,CC,O
is,RB,O
required,DT,O
to,CD,O
be,NNS,O
recalled,TO,O
for,VB,O
cross,VBN,O
examination,JJ,O
in,NN,O
order,NN,O
to,VBZ,O
cross,VBN,O
examine,TO,O
him,VB,O
with,VBN,O
regard,IN,O
to,NN,O
the,NN,O
document,IN,O
given,NN,O
by,TO,O
the,VB,O
transporter,VB,O
who,PRP,O
brought,IN,O
the,NN,O
cab,TO,O
in,DT,O
question,NN,O
from,VBN,O
mathura,IN,O
to,DT,O
delhi,NN,O
it,WP,O
may,VBD,O
also,DT,O
be,NN,O
mentioned,IN,O
that,NN,O
in,IN,O
his,NN,O
zest,TO,O
to,VB,O
seek,PRP,O
recall,MD,O
of,RB,O
all,VB,O
the,VBN,O
prosecution,IN,O
witnesses,IN,O
the,PRP$,O
applicant,NN,O
has,TO,O
also,VB,O
sought,NN,O
recall,IN,O
of,PDT,O
one,DT,O
lady,NN,O
constable,VBZ,O
manju,DT,O
who,NN,O
as,VBZ,O
per,RB,O
record,VBN,O
was,NN,O
not,IN,O
even,CD,O
examined,NN,O
as,JJ,O
a,NN,O
prosecution,WP,O
witness,IN,O
35,IN,O
it,NN,O
is,VBD,O
further,RB,O
necessary,RB,O
to,VBN,O
mention,IN,O
that,DT,O
on,NN,O
04,NN,O
02,CD,O
2015,PRP,O
accused,VBZ,O
had,JJ,O
moved,JJ,O
an,TO,O
application,VB,O
under,IN,O
section,IN,O
311,CD,O
code,CD,O
of,CD,O
criminal,VBD,O
procedure,VBD,O
thereby,VBN,O
seeking,DT,O
recall,NN,O
of,IN,O
prosecutrix,NN,B-LEGAL
pw,CD,O
2,NN,O
and,IN,O
pw,JJ,O
23,NN,O
ayush,NN,O
dabas,VBG,O
the,NN,O
application,IN,O
was,JJ,O
dismissed,NN,O
the,CD,O
present,CC,O
application,VB,O
has,CD,O
been,JJ,O
filed,NN,O
now,DT,O
seeking,NN,O
recall,VBD,O
of,VBN,O
all,DT,O
pws,JJ,O
including,NN,O
pw,VBZ,O
2,VBN,O
and,VBN,O
pw,RB,O
23,VBG,O
while,NN,O
the,IN,O
order,DT,O
dated,NN,O
04,VBG,O
02,JJ,O
2015,CD,O
still,CC,O
remains,VBD,O
unchallenged,CD,O
36,IN,O
the,DT,O
application,NN,O
under,VBD,O
consideration,CD,O
is,CD,O
thus,CD,O
nothing,RB,O
but,VBZ,O
an,JJ,O
attempt,CD,O
to,DT,O
protract,NN,O
the,IN,O
trial,NN,O
and,VBZ,O
in,RB,O
fact,NN,O
seek,CC,O
an,DT,O
entire,NN,O
retrial,TO,O
there,VB,O
is,DT,O
no,NN,O
change,CC,O
in,IN,O
circumstances,NN,O
except,VBP,O
change,DT,O
of,JJ,O
counsel,NN,O
which,EX,O
to,VBZ,O
my,DT,O
mind,NN,O
is,IN,O
no,NNS,O
ground,IN,O
to,NN,O
allow,IN,O
the,NN,O
application,WDT,O
interestingly,TO,O
in,PRP$,O
para,NN,O
17,VBZ,O
of,DT,O
the,NN,O
application,TO,O
it,VB,O
has,DT,O
been,NN,O
contended,RB,O
that,IN,O
the,JJ,O
present,CD,O
counsel,IN,O
is,DT,O
not,NN,O
aware,PRP,O
of,VBZ,O
the,VBN,O
scheme,VBN,O
and,IN,O
design,DT,O
of,JJ,O
defence,NN,O
of,VBZ,O
the,RB,O
previous,JJ,O
counsel,IN,O
and,DT,O
is,NN,O
thus,CC,O
at,NN,O
a,IN,O
loss,NN,O
and,IN,O
disadvantageous,DT,O
position,JJ,O
to,NN,O
defend,CC,O
the,VBZ,O
accused,RB,O
and,IN,O
for,DT,O
conducting,NN,O
the,CC,O
case,JJ,O
as,NN,O
per,TO,O
his,VB,O
acumen,DT,O
and,JJ,O
legal,CC,O
expertise,IN,O
the,VBG,O
recalling,DT,O
of,NN,O
pws,IN,O
are,IN,O
necessary,PRP$,O
it,NNS,O
may,CC,O
be,JJ,O
noted,NN,O
that,DT,O
the,NN,O
defence,IN,O
of,NN,O
an,VBP,O
under,JJ,O
trial,PRP,O
is,MD,O
not,VB,O
expected,VBN,O
to,IN,O
vary,DT,O
from,NN,O
counsel,IN,O
to,DT,O
counsel,IN,O
and,NN,O
irrespective,VBZ,O
of,RB,O
change,VBN,O
of,TO,O
counsel,VB,O
an,IN,O
under,NN,O
trial,TO,O
is,NN,O
expected,CC,O
to,NN,O
have,IN,O
a,NN,O
single,IN,O
and,NN,O
true,DT,O
line,IN,O
of,NN,O
defence,VBZ,O
which,VBN,O
cannot,TO,O
change,VB,O
every,DT,O
time,JJ,O
he,CC,O
changes,JJ,O
a,NN,O
counsel,IN,O
nor,NN,O
can,WDT,O
a,MD,O
new,RB,O
counsel,VB,O
defend,DT,O
the,NN,O
case,PRP,O
of,VBZ,O
such,DT,O
an,NN,O
under,CC,O
trial,MD,O
as,DT,O
per,JJ,O
the,NN,O
new,VBP,O
scheme,DT,O
and,NN,O
design,IN,O
in,JJ,O
accordance,DT,O
with,IN,O
his,NN,O
acumen,IN,O
and,IN,O
legal,DT,O
expertise,JJ,O
23,NN,O
the,CC,O
high,NN,O
court,IN,O
made,NN,O
a,IN,O
reference,PRP$,O
to,NNS,O
the,CC,O
criminal,JJ,O
law,NN,O
amendment,CD,O
act,DT,O
2013,JJ,O
providing,NN,O
for,VBD,O
trial,DT,O
relating,NN,O
to,TO,O
offences,DT,O
under,JJ,O
section,NN,O
376,NN,O
and,NN,O
other,CD,O
specified,VBG,O
offences,IN,O
being,NN,O
completed,NN,O
within,TO,O
two,NNS,O
months,IN,O
from,NN,O
the,CD,O
date,CC,O
of,JJ,O
fling,JJ,O
of,NNS,O
the,VBG,O
charge,VBN,O
sheet,IN,O
reference,CD,O
has,NNS,O
also,IN,O
been,DT,O
made,NN,O
to,IN,O
circular,NN,O
issued,IN,O
by,DT,O
the,NN,O
delhi,NN,O
high,NN,O
court,VBZ,O
drawing,RB,O
the,VBN,O
attention,VBN,O
of,TO,O
the,VB,O
judicial,VBN,O
officers,IN,O
to,DT,O
the,JJ,O
mandate,JJ,O
of,NN,O
speedy,VBG,O
disposal,DT,O
of,NN,O
session,IN,O
cases,DT,O
the,JJ,O
high,NNS,O
court,TO,O
also,DT,O
referred,NN,O
to,IN,O
the,NN,O
decisions,NN,O
of,IN,O
this,NN,O
court,NNS,O
in,DT,O
lt,JJ,O
col,NN,O
sj,RB,O
chaudhary,VBD,O
v,TO,O
state,DT,O
delhi,NNS,O
administration,IN,O
manu,DT,O
sc,NN,O
0094,IN,O
1984manu,NN,O
sc,NN,O
0094,NN,O
1984,JJ,O
1984,NN,O
1,NN,O
scc,JJ,O
722,NN,O
state,NN,O
of,JJ,O
up,CD,O
v,CD,O
shambhu,NN,O
nath,CD,O
singh,CD,O
manu,CD,O
sc,CD,O
0221,NN,O
2001manu,CD,O
sc,NN,O
0221,IN,O
2001,IN,O
2001,NN,O
4,NNS,O
scc,IN,O
667,NN,O
akil,NN,O
javed,NN,O
v,CD,O
state,CD,O
of,NN,O
nct,CD,O
of,CD,O
delhi,CD,O
manu,CD,O
sc,NN,O
1070,CD,O
2012manu,NN,O
sc,VBD,O
1070,JJ,O
2012,NN,O
2013,IN,O
7,NN,O
scc,IN,O
125,NN,O
and,NN,O
vinod,NN,O
kumar,CD,O
v,CD,O
state,NN,O
of,CD,O
punjab,CD,O
manu,CD,O
sc,CD,O
0068,NN,O
2015manu,CD,O
sc,CC,O
0068,JJ,O
2015,NN,O
2015,NN,O
1,NN,O
scale,IN,O
542,NN,O
requiring,NN,O
the,NN,O
trials,CD,O
to,CD,O
be,NN,O
conducted,CD,O
on,CD,O
day,CD,O
to,CD,O
day,NN,O
basis,CD,O
keeping,VBG,O
in,DT,O
view,NNS,O
the,TO,O
mandate,VB,O
of,VBN,O
section,IN,O
309,NN,O
code,TO,O
of,NN,O
criminal,NN,O
procedure,VBG,O
24,IN,O
after,NN,O
rejecting,DT,O
the,NN,O
plea,IN,O
of,NN,O
the,CD,O
accused,NN,O
that,IN,O
there,JJ,O
was,NN,O
any,CD,O
infirmity,IN,O
in,VBG,O
the,DT,O
conduct,NN,O
of,IN,O
the,DT,O
trial,VBN,O
after,IN,O
detailed,EX,O
reference,VBD,O
to,DT,O
the,NN,O
proceedings,IN,O
the,DT,O
high,NN,O
court,IN,O
concluded,DT,O
31,NN,O
the,IN,O
aforesaid,JJ,O
narration,NN,O
of,TO,O
proceedings,DT,O
before,NNS,O
the,DT,O
learned,JJ,O
additional,NN,O
sessions,VBD,O
judge,CD,O
clearly,DT,O
reflects,JJ,O
that,NN,O
while,IN,O
posting,NNS,O
the,IN,O
matter,DT,O
on,JJ,O
day,JJ,O
to,NNS,O
day,VBP,O
basis,RB,O
the,VBZ,O
court,IN,O
s,IN,O
only,VBG,O
endeavour,DT,O
was,NN,O
to,IN,O
comply,NN,O
with,TO,O
the,NN,O
provisions,NN,O
of,DT,O
section,NN,O
309,VBD,O
code,RB,O
of,NN,O
criminal,VBD,O
procedure,TO,O
as,VB,O
far,IN,O
as,DT,O
possible,NNS,O
while,IN,O
ensuring,NN,O
the,CD,O
right,NN,O
of,IN,O
the,JJ,O
accused,NN,O
to,RB,O
a,RB,O
fair,IN,O
trial,JJ,O
the,IN,O
earlier,VBG,O
counsel,DT,O
had,NN,O
been,IN,O
seeking,DT,O
adjournment,VBN,O
for,TO,O
consulting,DT,O
the,JJ,O
petitioner,NN,O
which,DT,O
was,JJR,O
duly,NN,O
granted,VBD,O
and,VBN,O
under,VBG,O
these,NN,O
circumstances,IN,O
the,VBG,O
submission,DT,O
of,NN,O
learned,WDT,O
counsel,VBD,O
for,RB,O
the,VBN,O
petitioner,CC,O
that,IN,O
justice,DT,O
hurried,NNS,O
is,DT,O
justice,NN,O
buried,IN,O
deserves,JJ,O
outright,NN,O
rejection,IN,O
25,DT,O
it,NN,O
was,IN,O
then,NN,O
observed,VBD,O
that,VBZ,O
competence,JJ,O
of,VBN,O
a,NNS,O
counsel,VBD,O
was,NN,O
a,CD,O
subjective,PRP,O
matter,VBD,O
and,RB,O
plea,VBN,O
of,IN,O
incompetence,NN,O
of,IN,O
the,DT,O
counsel,NN,O
could,VBD,O
not,DT,O
be,JJ,O
easily,NN,O
accepted,CC,O
it,NN,O
was,IN,O
observed,NN,O
32,IN,O
the,DT,O
other,NN,O
submission,MD,O
of,RB,O
learned,VB,O
counsel,RB,O
for,VBN,O
the,PRP,O
petitioner,VBD,O
that,VBN,O
sh,CD,O
alok,DT,O
dubey,JJ,O
advocate,NN,O
was,IN,O
not,JJ,O
competent,NN,O
to,IN,O
appear,DT,O
as,NN,O
an,IN,O
advocate,VBZ,O
inasmuch,JJ,O
as,NN,O
he,NN,O
had,VBD,O
not,RB,O
even,JJ,O
undergone,TO,O
screening,VB,O
test,IN,O
as,DT,O
required,NN,O
by,NN,O
bar,IN,O
council,PRP,O
of,VBD,O
delhi,RB,O
rules,RB,O
and,JJ,O
was,VBG,O
not,NN,O
issued,IN,O
practice,VBN,O
certificate,IN,O
this,NN,O
submission,NN,O
is,IN,O
not,NN,O
fortified,NNS,O
by,CC,O
any,VBD,O
record,RB,O
much,VBN,O
was,NN,O
said,NN,O
against,DT,O
the,NN,O
competency,VBZ,O
of,RB,O
the,VBN,O
earlier,IN,O
counsel,DT,O
representing,NN,O
the,NN,O
petitioner,VBD,O
however,VBD,O
learned,IN,O
standing,DT,O
counsel,NN,O
for,IN,O
the,DT,O
state,JJR,O
was,NN,O
right,VBG,O
in,DT,O
submitting,NN,O
that,RB,O
competency,VBD,O
of,VBG,O
an,NN,O
advocate,IN,O
is,DT,O
a,NN,O
subjective,VBD,O
issue,JJ,O
which,IN,O
should,VBG,O
not,DT,O
have,NN,O
been,IN,O
attacked,DT,O
behind,NN,O
the,VBZ,O
back,DT,O
of,JJ,O
the,NN,O
concerned,WDT,O
advocate,MD,O
33,RB,O
learned,VB,O
additional,VBN,O
standing,VBN,O
counsel,IN,O
for,DT,O
the,NN,O
state,IN,O
has,DT,O
furnished,JJ,O
details,NN,O
of,CD,O
the,VBD,O
number,JJ,O
of,NN,O
questions,NN,O
put,IN,O
by,DT,O
the,NN,O
earlier,VBZ,O
counsel,VBN,O
to,NNS,O
the,IN,O
prosecution,DT,O
witnesses,NN,O
for,IN,O
showing,NNS,O
the,VBN,O
performance,IN,O
of,DT,O
the,JJR,O
earlier,NN,O
counsel,TO,O
moreover,DT,O
one,NN,O
cannot,VBZ,O
lose,IN,O
sight,VBG,O
of,DT,O
the,NN,O
fact,IN,O
that,DT,O
the,JJR,O
advocate,NN,O
was,IN,O
appointed,CD,O
by,MD,O
the,RB,O
petitioner,VB,O
of,NN,O
his,IN,O
own,DT,O
choice,NN,O
26,IN,O
inspite,DT,O
of,NN,O
the,VBD,O
high,VBN,O
court,IN,O
not,DT,O
having,NN,O
found,IN,O
any,PRP$,O
fault,JJ,O
in,NN,O
the,CD,O
conduct,NN,O
of,IN,O
the,DT,O
proceedings,JJ,O
it,NN,O
held,RB,O
that,VBG,O
although,VBN,O
recalling,DT,O
of,NN,O
all,IN,O
the,DT,O
prosecution,NN,O
witnesses,IN,O
is,DT,O
not,NNS,O
necessary,PRP,O
recall,VBD,O
of,IN,O
certain,IN,O
witnesses,NN,O
was,IN,O
necessary,PDT,O
for,DT,O
the,NN,O
reasons,NNS,O
given,VBZ,O
in,RB,O
para,JJ,O
15a,NN,O
to,IN,O
xx,JJ,O
on,NNS,O
the,VBD,O
application,JJ,O
of,IN,O
the,DT,O
accused,NNS,O
it,VBN,O
was,IN,O
observed,NN,O
that,CD,O
the,TO,O
accused,VB,O
was,IN,O
in,DT,O
custody,NN,O
and,IN,O
if,DT,O
he,VBN,O
adopted,PRP,O
delaying,VBD,O
tactics,VBN,O
it,IN,O
is,DT,O
only,VBN,O
he,VBD,O
who,IN,O
would,NN,O
suffer,CC,O
27,IN,O
it,PRP,O
is,VBD,O
difficult,VBG,O
to,NNS,O
approve,PRP,O
the,VBZ,O
view,RB,O
taken,PRP,O
by,WP,O
the,MD,O
high,VB,O
court,CD,O
undoubtedly,PRP,O
fair,VBZ,O
trial,JJ,O
is,TO,O
the,VB,O
objective,DT,O
and,NN,O
it,VBN,O
is,IN,O
the,DT,O
duty,JJ,O
of,NN,O
the,RB,O
court,JJ,O
to,NN,O
ensure,VBZ,O
such,DT,O
fairness,JJ,O
width,CC,O
of,PRP,O
power,VBZ,O
under,DT,O
section,NN,O
311,IN,O
code,DT,O
of,NN,O
criminal,TO,O
procedure,VB,O
is,JJ,O
beyond,JJ,O
any,NN,O
doubt,IN,O
not,NN,O
a,IN,O
single,NN,O
specific,CD,O
reason,NN,O
has,IN,O
been,JJ,O
assigned,NN,O
by,VBZ,O
the,IN,O
high,DT,O
court,NN,O
as,RB,O
to,DT,O
how,JJ,O
in,JJ,O
the,NN,O
present,VBZ,O
case,VBN,O
recall,VBN,O
of,IN,O
as,DT,O
many,JJ,O
as,NN,O
13,IN,O
witnesses,TO,O
was,WRB,O
necessary,IN,O
as,DT,O
directed,JJ,O
in,NN,O
the,NN,O
impugned,IN,O
order,RB,O
no,JJ,O
fault,IN,O
has,CD,O
been,NNS,O
found,VBD,O
with,JJ,O
the,IN,O
reasoning,VBN,O
of,IN,O
the,DT,O
order,JJ,O
of,NN,O
the,DT,O
trial,NN,O
court,VBZ,O
the,VBN,O
high,VBN,O
court,IN,O
rejected,DT,O
on,NN,O
merits,IN,O
the,DT,O
only,NN,O
two,IN,O
reasons,DT,O
pressed,NN,O
before,NN,O
it,DT,O
that,JJ,O
the,NN,O
trial,VBD,O
was,IN,O
hurried,NNS,O
and,DT,O
the,RB,O
counsel,CD,O
was,NNS,O
not,VBD,O
competent,IN,O
in,PRP,O
the,IN,O
face,DT,O
of,NN,O
rejecting,VBD,O
these,VBN,O
grounds,CC,O
without,DT,O
considering,NN,O
the,VBD,O
hardship,RB,O
to,JJ,O
the,IN,O
witnesses,DT,O
undue,NN,O
delay,IN,O
in,VBG,O
the,DT,O
trial,NNS,O
and,IN,O
without,VBG,O
any,DT,O
other,NN,O
cogent,TO,O
reason,DT,O
allowing,NNS,O
recall,JJ,O
merely,NN,O
on,IN,O
the,DT,O
observation,NN,O
that,CC,O
it,IN,O
is,DT,O
only,JJ,O
the,NN,O
accused,NN,O
who,VBG,O
will,NN,O
suffer,RB,O
by,IN,O
the,DT,O
delay,NN,O
as,IN,O
he,PRP,O
was,VBZ,O
in,RB,O
custody,DT,O
could,VBN,O
in,WP,O
the,MD,O
circumstances,VB,O
be,IN,O
hardly,DT,O
accepted,NN,O
as,IN,O
valid,PRP,O
or,VBD,O
serving,IN,O
the,NN,O
ends,MD,O
of,IN,O
justice,DT,O
it,NNS,O
is,VB,O
not,RB,O
only,VBN,O
matter,IN,O
of,JJ,O
delay,CC,O
but,VBG,O
also,DT,O
of,NNS,O
harassment,IN,O
for,NN,O
the,PRP,O
witnesses,VBZ,O
to,RB,O
be,RB,O
recalled,NN,O
which,IN,O
could,NN,O
not,CC,O
be,RB,O
justified,IN,O
on,NN,O
the,IN,O
ground,DT,O
that,NNS,O
the,TO,O
accused,VB,O
was,VBN,O
in,WDT,O
custody,MD,O
and,RB,O
that,VB,O
he,VBN,O
would,IN,O
only,DT,O
suffer,NN,O
by,IN,O
prolonging,DT,O
of,VBN,O
the,VBD,O
proceedings,IN,O
certainly,NN,O
recall,CC,O
could,IN,O
be,PRP,O
permitted,MD,O
if,RB,O
essential,VB,O
for,IN,O
the,VBG,O
just,IN,O
decision,DT,O
but,NNS,O
not,RB,O
on,VB,O
such,MD,O
consideration,VB,O
as,VBN,O
has,IN,O
been,JJ,O
adopted,IN,O
in,DT,O
the,RB,O
present,NN,O
case,CC,O
mere,RB,O
observation,IN,O
that,JJ,O
recall,NN,O
was,IN,O
necessary,VBZ,O
for,VBN,O
ensuring,VBN,O
fair,IN,O
trial,DT,O
is,JJ,O
not,NN,O
enough,JJ,O
unless,NN,O
there,IN,O
are,NN,O
tangible,VBD,O
reasons,JJ,O
to,IN,O
show,VBG,O
how,JJ,O
the,NN,O
fair,VBZ,O
trial,RB,O
suffered,JJ,O
without,IN,O
recall,EX,O
recall,VBP,O
is,JJ,O
not,NNS,O
a,TO,O
matter,VB,O
of,WRB,O
course,DT,O
and,JJ,O
the,NN,O
discretion,VBD,O
given,IN,O
to,NN,O
the,NN,O
court,VBZ,O
has,RB,O
to,DT,O
be,NN,O
exercised,IN,O
judiciously,NN,O
to,CC,O
prevent,DT,O
failure,NN,O
of,VBN,O
justice,TO,O
and,DT,O
not,NN,O
arbitrarily,VBZ,O
while,TO,O
the,VB,O
party,VBN,O
is,RB,O
even,TO,O
permitted,VB,O
to,NN,O
correct,IN,O
its,NN,O
bona,CC,O
fide,RB,O
error,RB,O
and,IN,O
may,DT,O
be,NN,O
entitled,VBZ,O
to,RB,O
further,VBN,O
opportunity,TO,O
even,VB,O
when,PRP$,O
such,JJ,O
opportunity,JJ,O
may,NN,O
be,CC,O
sought,MD,O
without,VB,O
any,VBN,O
fault,TO,O
on,RBR,O
the,NN,O
part,RB,O
of,WRB,O
the,JJ,O
opposite,NN,O
party,MD,O
plea,VB,O
for,VBN,O
recall,IN,O
for,DT,O
advancing,NN,O
justice,IN,O
has,DT,O
to,NN,O
be,IN,O
bona,DT,O
fide,JJ,O
and,NN,O
has,NN,O
to,IN,O
be,NN,O
balanced,IN,O
carefully,VBG,O
with,NN,O
the,VBZ,O
other,TO,O
relevant,VB,O
considerations,JJ,O
including,NN,O
uncalled,CC,O
for,VBZ,O
hardship,TO,O
to,VB,O
the,VBN,O
witnesses,RB,O
and,IN,O
uncalled,DT,O
for,JJ,O
delay,JJ,O
in,NNS,O
the,VBG,O
trial,JJ,O
having,IN,O
regard,NN,O
to,TO,O
these,DT,O
considerations,NNS,O
we,CC,O
do,JJ,O
not,IN,O
find,NN,O
any,IN,O
ground,DT,O
to,NN,O
justify,VBG,O
the,NN,O
recall,TO,O
of,DT,O
witnesses,NNS,O
already,PRP,O
examined,VBP,O
28,RB,O
it,VB,O
will,DT,O
also,NN,O
be,TO,O
pertinent,VB,O
to,DT,O
mention,NN,O
that,IN,O
power,NNS,O
of,RB,O
judicial,VBD,O
superintendence,CD,O
under,PRP,O
article,MD,O
227,RB,O
of,VB,O
the,JJ,O
constitution,TO,O
and,VB,O
under,DT,O
section,NN,O
482,IN,O
code,JJ,O
of,NN,O
criminal,IN,O
procedure,NN,O
has,CD,O
to,IN,O
be,DT,O
exercised,NN,O
sparingly,CC,O
when,IN,O
there,NN,O
is,CD,O
patent,NN,O
error,IN,O
or,JJ,O
gross,NN,O
injustice,VBZ,O
