rc,NN,O
state,DT,O
trade,NN,O
or,IN,O
commerce,NN,O
the,NN,O
state,NN,O
can,CC,O
legislate,VB,O
to,DT,O
tax,NN,O
such,MD,O
sale,VB,O
if,TO,O
the,NN,O
sale,JJ,O
can,NN,O
be,IN,O
held,DT,O
to,NN,O
have,MD,O
taken,VB,O
place,VBN,O
within,TO,O
the,VB,O
territory,VBN,O
of,NN,O
that,IN,O
state,DT,O
or,NN,O
if,IN,O
adequate,DT,O
territorial,NN,O
nexus,CC,O
is,IN,O
established,JJ,O
between,JJ,O
the,NN,O
transaction,VBZ,O
and,VBN,O
state,IN,O
legislation,DT,O
for,NN,O
the,CC,O
several,NN,O
reasons,NN,O
stated,IN,O
hereinafter,DT,O
such,JJ,O
a,NNS,O
plea,VBN,O
cannot,NN,O
be,PDT,O
countenanced,DT,O
27,NN,O
the,MD,O
prohibition,RB,O
which,VB,O
is,VBN,O
imposed,CD,O
by,DT,O
article,NN,O
2861,WDT,O
of,VBZ,O
the,VBN,O
constitution,IN,O
is,NN,O
independent,CD,O
of,IN,O
the,DT,O
legislative,NN,O
entries,VBZ,O
in,JJ,O
seventh,IN,O
schedule,DT,O
after,JJ,O
the,NNS,O
decision,IN,O
of,JJ,O
larger,NN,O
bench,IN,O
in,DT,O
bengal,NN,O
immunity,IN,B-LEGAL
company,JJR,O
limited,NN,O
supra,IN,O
and,JJ,O
constitution,NN,O
bench,NN,O
decision,VBD,O
in,NN,O
ram,CC,O
narian,NN,O
sons,NN,O
ltd,NN,O
and,IN,O
ors,NN,O
v,JJ,O
asst,NNS,O
commissioner,NN,O
of,CC,O
sales,NNS,O
tax,VBP,O
and,JJ,O
ors,NN,O
manu,IN,O
sc,NNS,O
0084,NN,O
1955manu,CC,O
sc,NNS,O
0084,VBP,O
1955,JJ,O
1955,CD,O
2scr483,CD,O
there,NN,O
is,CD,O
no,CD,O
manner,CD,O
of,CD,O
doubt,EX,O
that,VBZ,O
the,DT,O
bans,NN,O
imposed,IN,O
by,NN,O
articles,IN,O
286,DT,O
and,NNS,O
269,VBN,O
on,IN,O
the,NNS,O
taxation,CD,O
powers,CC,O
of,CD,O
the,IN,O
state,DT,O
are,NN,O
independent,NNS,O
and,IN,O
separate,DT,O
and,NN,O
must,VBP,O
be,JJ,O
got,CC,O
over,JJ,O
before,CC,O
a,MD,O
state,VB,O
legislature,VBN,O
can,IN,O
impose,IN,O
tax,DT,O
on,NN,O
transaction,NN,O
s,MD,O
of,VB,O
sale,NN,O
or,IN,O
purchase,NN,O
of,NN,O
goods,IN,O
needless,NN,O
to,CC,O
say,NN,O
such,IN,O
ban,NNS,O
would,JJ,O
operate,TO,O
by,VB,O
its,JJ,O
own,NN,O
force,MD,O
and,VB,O
irrespective,IN,O
of,PRP$,O
the,JJ,O
language,NN,O
in,CC,O
which,NN,O
in,IN,O
entry,DT,O
in,NN,O
list,IN,O
ii,WDT,O
of,IN,O
seventh,NN,O
schedule,IN,O
has,NN,O
been,NN,O
couched,IN,O
the,JJ,O
dimension,NN,O
given,VBZ,O
to,VBN,O
field,VBN,O
of,DT,O
legislation,NN,O
by,VBN,O
the,TO,O
language,NN,O
of,IN,O
an,NN,O
entry,IN,O
in,DT,O
list,NN,O
ii,IN,O
seventh,DT,O
schedule,NN,O
shall,IN,O
always,NN,O
remain,JJ,O
subject,JJ,O
to,NN,O
the,MD,O
limits,RB,O
of,VB,O
constitutional,JJ,O
empowerment,TO,O
to,DT,O
legislate,NNS,O
and,IN,O
can,JJ,O
never,NN,O
afford,TO,O
to,VB,O
spill,CC,O
over,MD,O
the,RB,O
barriers,VB,O
created,TO,O
by,VB,O
the,IN,O
constitution,DT,O
the,NNS,O
power,VBN,O
of,IN,O
state,DT,O
legislature,NN,O
to,DT,O
enact,NN,O
law,IN,O
to,NN,O
levy,NN,O
tax,TO,O
by,VB,O
reference,NN,O
to,TO,O
list,VB,O
ii,NN,O
of,IN,O
the,NN,O
seventh,TO,O
schedule,VB,O
has,NN,O
two,IN,O
limitations,DT,O
one,JJ,O
arising,NN,O
out,VBZ,O
of,CD,O
the,NNS,O
entry,CD,O
itself,VBG,O
and,IN,O
the,IN,O
other,DT,O
flowing,NN,O
from,PRP,O
the,CC,O
restriction,DT,O
embodied,JJ,O
in,VBG,O
the,IN,O
constitution,DT,O
it,NN,O
was,VBN,O
held,IN,O
in,DT,O
tata,NN,O
iron,PRP,O
and,VBD,O
steel,VBN,O
co,IN,O
ltd,NN,O
bombay,NN,O
v,CC,O
sr,NN,O
sarkar,NNS,O
and,VBP,O
ors,NN,O
manu,NN,O
sc,NN,O
0270,NN,O
1960manu,CC,O
sc,NNS,O
0270,VBP,O
1960,JJ,O
1961,CD,O
1scr379,CD,O
that,NN,O
field,CD,O
of,CD,O
taxation,CD,O
on,CD,O
sale,IN,O
or,NN,O
purchase,IN,O
taking,NN,O
place,IN,O
in,NN,O
the,CC,O
course,NN,O
of,VBG,O
inter,NN,B-LEGAL
state,IN,O
trade,DT,O
or,NN,O
commerce,IN,O
has,NN,O
been,NN,O
excluded,NN,O
from,CC,O
the,NN,O
competence,VBZ,O
of,VBN,O
the,VBN,O
state,IN,O
legislature,DT,O
in,NN,O
20th,IN,O
century,DT,O
finance,NN,O
corporation,NN,O
limited,IN,O
supra,JJ,O
the,NN,O
constitution,NN,O
bench,NN,O
majority,VBD,O
made,PDT,O
it,DT,O
clear,NN,O
that,NN,O
the,NN,O
situs,VBD,O
of,PRP,O
the,JJ,O
sale,IN,O
or,DT,O
purchase,NN,O
is,IN,O
wholly,DT,O
immaterial,NN,O
as,CC,O
regards,NN,O
the,VBZ,O
inter,RB,B-LEGAL
state,JJ,O
trade,IN,O
or,NNS,O
commerce,DT,O
in,NN,O
view,NN,O
of,NN,O
section,CC,O
3,NN,O
of,IN,O
the,NN,O
central,IN,O
sales,NN,O
tax,CD,O
1956,IN,O
all,DT,O
that,JJ,O
has,NNS,O
to,NN,O
be,CD,O
seen,PDT,O
is,WDT,O
whether,VBZ,O
the,TO,O
sale,VB,O
or,VBN,O
purchase,VBZ,O
a,IN,O
occasions,DT,O
the,NN,O
movement,CC,O
of,VB,O
goods,DT,O
from,NNS,O
one,DT,O
state,NN,O
to,IN,O
another,NNS,O
or,IN,O
b,CD,O
is,NN,O
effected,TO,O
by,DT,O
a,CC,O
transfer,NN,O
of,VBZ,O
documents,VBN,O
of,IN,O
title,DT,O
to,NN,O
the,IN,O
goods,NNS,O
daring,IN,O
their,NN,O
movement,TO,O
from,DT,O
one,NNS,O
state,VBG,O
to,PRP$,O
another,NN,O
if,IN,O
the,CD,O
transaction,NN,O
of,TO,O
sale,DT,O
satisfies,IN,O
any,DT,O
one,NN,O
of,IN,O
the,NN,O
two,NNS,O
requirements,DT,O
it,CD,O
shall,IN,O
be,DT,O
deemed,CD,O
to,NNS,O
be,PRP,O
a,MD,O
sale,VB,O
or,VBN,O
purchase,TO,O
of,VB,O
good,DT,B-LEGAL
sin,NN,O
the,CC,O
course,NN,O
of,IN,O
inter,JJ,B-LEGAL
state,NN,O
trade,DT,O
or,NN,O
commerce,IN,O
and,NN,O
by,NN,O
virtue,NN,O
of,CC,O
articles,NN,O
269,CC,O
and,IN,O
286,NN,O
of,IN,O
the,NNS,O
constitution,CD,O
the,CC,O
same,CD,O
shall,IN,O
be,DT,O
beyond,NN,O
the,DT,O
legislative,JJ,O
competence,MD,O
of,VB,O
a,IN,O
state,DT,O
to,JJ,O
tax,NN,O
without,IN,O
regard,DT,O
to,NN,O
the,TO,O
fact,NN,O
whether,IN,O
such,NN,O
a,TO,O
prohibitions,DT,O
spelled,NN,O
out,IN,O
by,PDT,O
the,DT,O
description,NNS,O
of,VBN,O
a,RP,O
legislative,IN,O
entry,DT,O
in,NN,O
seventh,IN,O
schedule,DT,O
or,JJ,O
not,NN,O
28,IN,O
it,JJ,O
is,NN,O
well,CC,O
settled,RB,O
and,CD,O
hardly,PRP,O
needs,VBZ,O
any,RB,O
authority,VBN,O
to,CC,O
support,RB,O
the,VBZ,O
proposition,DT,O
that,NN,O
several,TO,O
entries,VB,O
in,DT,O
the,NN,O
three,IN,O
lists,JJ,O
of,NNS,O
seventh,IN,O
schedule,DT,O
are,CD,O
legislative,NNS,O
heads,IN,O
or,JJ,O
fields,NN,O
of,VBP,O
legislation,JJ,O
and,NNS,O
not,CC,O
the,NNS,O
source,IN,O
of,NN,O
legislative,CC,O
empowerment,RB,O
to,DT,O
wit,NN,O
see,IN,O
the,JJ,O
calcutta,NN,O
gas,TO,O
co,VB,O
ltd,VB,O
v,DT,O
the,NN,O
state,NN,O
of,NN,O
west,NN,O
bengal,VBD,O
and,DT,O
ors,NN,O
supra,IN,O
competence,JJ,O
to,NN,O
legislate,CC,O
has,NNS,O
to,VBP,O
be,NN,O
traced,TO,O
to,VB,O
the,VBZ,O
constitution,TO,O
the,VB,O
division,VBN,O
of,TO,O
powers,DT,O
between,NN,O
parliament,DT,O
and,NN,O
the,IN,O
state,NNS,O
legislatures,IN,O
to,NN,O
legislate,CC,O
by,DT,O
reference,NN,O
to,VBZ,O
territorial,TO,O
limits,VB,O
is,IN,O
defined,NN,O
by,TO,O
article,JJ,O
245,NNS,O
the,VBZ,O
subject,VBN,O
matters,IN,O
with,NN,O
respect,CD,O
to,DT,O
which,NN,O
those,NNS,O
powers,IN,O
can,NN,O
be,TO,O
exercised,WDT,O
are,DT,O
enumerated,NNS,O
in,MD,O
the,VB,O
several,VBN,O
entries,VBP,O
divided,VBN,O
into,IN,O
three,DT,O
groups,JJ,O
as,NNS,O
three,VBD,O
lists,IN,O
of,CD,O
seventh,NNS,O
schedule,IN,O
residuary,CD,O
powers,NNS,O
of,IN,O
legislation,JJ,O
are,NN,O
also,JJ,O
vested,NNS,O
by,IN,O
article,NN,O
248,VBP,O
in,RB,O
the,VBN,O
parliament,IN,O
with,NN,O
respect,CD,O
to,IN,O
any,DT,O
matter,NN,O
not,IN,O
enumerated,NN,O
in,TO,O
any,DT,O
of,NN,O
the,RB,O
lists,VBN,O
in,IN,O
seventh,DT,O
schedule,IN,O
this,DT,O
residuary,NNS,O
power,IN,O
finds,JJ,O
reflected,NN,O
in,DT,O
entry,JJ,O
97,NN,O
of,NNS,O
list,VBN,O
i,IN,O
if,NN,O
an,CD,O
entry,IN,O
does,NN,O
not,NN,O
spell,IN,O
out,DT,O
an,NN,O
exclusion,VBZ,O
from,RB,O
field,VB,O
of,RP,O
legislation,DT,O
discernible,NN,O
on,IN,O
its,NN,O
apparent,IN,O
reading,NN,O
the,NN,O
absence,IN,O
of,PRP$,O
exclusion,JJ,O
cannot,VBG,O
be,DT,O
read,NN,O
as,IN,O
enabling,NN,O
power,MD,O
to,RB,O
legislate,VB,O
in,VBN,O
the,IN,O
field,VBG,O
not,NN,O
specifically,TO,O
excluded,VB,O
more,IN,O
so,DT,O
when,NN,O
there,RB,O
is,RB,O
available,VBN,O
a,RBR,O
specific,RB,O
provision,WRB,O
in,EX,O
the,VBZ,O
constitution,JJ,O
prohibiting,DT,O
such,JJ,O
legislation,NN,O
29,IN,O
it,DT,O
is,NN,O
by,VBG,O
reference,JJ,O
to,NN,O
the,CD,O
ambit,PRP,O
or,VBZ,O
limits,IN,O
of,NN,O
territory,TO,O
by,DT,O
which,NN,O
the,CC,O
legislative,NNS,O
powers,IN,O
vested,NN,O
in,IN,O
parliament,WDT,O
and,DT,O
the,JJ,O
state,NNS,O
legislatures,VBN,O
are,IN,O
divided,NN,O
in,CC,O
article,DT,O
245,NN,O
generally,NNS,O
speaking,VBP,O
a,VBN,O
legislation,IN,O
having,NN,O
extra,CD,O
territorial,RB,O
operation,VBG,O
can,DT,O
be,NN,O
enacted,VBG,O
only,JJ,O
by,JJ,O
parliament,NN,O
and,MD,O
not,VB,O
by,VBN,O
any,RB,O
state,IN,O
legislature,NN,O
possibly,CC,O
the,RB,O
only,IN,O
exception,DT,O
being,NN,O
one,NN,O
where,RB,O
extra,DT,O
territorial,JJ,O
operation,NN,O
of,VBG,O
a,CD,O
state,WRB,O
legislation,JJ,O
is,JJ,O
sustainable,NN,O
on,IN,O
the,DT,O
ground,NN,O
of,NN,O
territorial,VBZ,O
nexus,JJ,O
such,IN,O
territorial,DT,O
nexus,NN,O
when,IN,O
pleaded,JJ,O
must,NNS,O
be,JJ,O
sufficient,JJ,O
and,NN,O
real,WRB,O
and,VBD,O
not,MD,O
illusory,VB,O
in,JJ,O
burmah,CC,O
shell,JJ,O
oil,CC,O
storage,RB,O
distributing,JJ,O
co,IN,O
india,NN,O
ltd,NN,O
supra,NN,O
which,NN,O
we,VBG,O
have,JJ,O
noticed,JJ,O
it,NN,O
was,NN,O
held,WDT,O
that,PRP,O
sale,VBP,O
for,VBN,O
use,PRP,O
or,VBD,O
consumption,VBN,B-LEGAL
would,IN,O
mean,NN,O
the,IN,O
goods,NN,O
being,CC,O
brought,NN,O
inside,MD,O
the,VB,O
area,DT,O
for,NNS,O
sale,VBG,O
to,VBN,O
an,IN,O
ultimate,DT,O
consumer,NN,O
ie,IN,O
the,NN,O
one,TO,O
who,DT,O
consumes,JJ,O
in,NN,O
entry,IN,O
53,DT,O
sale,NN,O
for,WP,O
consumption,VBZ,B-LEGAL
the,IN,O
meaning,NN,O
which,CD,O
we,NN,O
have,IN,O
placed,NN,O
on,DT,O
the,NN,O
word,WDT,O
sale,PRP,O
would,VBP,O
mean,VBN,O
a,IN,O
sale,DT,O
for,NN,O
consumption,NN,B-LEGAL
within,MD,O
the,VB,O
state,DT,O
so,NN,O
as,IN,O
to,NN,O
bring,IN,O
a,DT,O
state,NN,O
legislation,RB,O
within,IN,O
the,TO,O
field,VB,O
of,DT,O
entry,NN,O
53,NN,O
if,IN,O
sale,DT,O
and,NN,O
consumption,IN,B-LEGAL
were,NN,O
to,CD,O
take,IN,O
place,NN,O
in,CC,O
different,NN,O
states,VBD,O
territorial,TO,O
nexus,VB,O
for,NN,O
the,IN,O
state,JJ,O
where,NNS,O
the,JJ,O
sale,NN,O
takes,IN,O
place,DT,O
would,NN,O
be,WRB,O
lost,DT,O
we,NN,O
have,VBZ,O
already,NN,O
noticed,MD,O
that,VB,O
in,VBN,O
case,PRP,O
of,VBP,O
electricity,RB,O
the,VBN,O
events,IN,O
of,IN,O
sale,NN,O
and,IN,O
consumption,NN,B-LEGAL
are,DT,O
inseparable,NNS,O
any,IN,O
state,NN,O
legislation,CC,O
levying,NN,O
duty,VBP,O
on,JJ,O
sale,DT,O
of,NN,O
electricity,NN,O
by,VBG,O
artificially,NN,O
or,IN,O
fictionally,NN,O
assuming,IN,O
that,NN,O
the,IN,O
events,RB,O
of,CC,O
sale,RB,O
and,VBG,O
consumption,IN,B-LEGAL
have,DT,O
taken,NNS,O
place,IN,O
in,NN,O
two,CC,O
states,NN,O
would,VBP,O
be,VBN,O
vitiated,NN,O
because,IN,O
of,CD,O
extra,NNS,O
territorial,MD,O
operation,VB,O
of,VBN,O
state,IN,O
legislation,IN,O
30,JJ,O
in,JJ,O
20th,NN,O
century,IN,O
finance,NN,O
corporation,NN,O
s,CD,O
case,IN,O
the,JJ,O
constitution,NN,O
bench,NN,O
by,NN,O
reference,VBD,O
to,NN,O
the,DT,O
definition,NN,B-LEGAL
of,NN,O
tax,IN,O
on,NN,O
the,TO,O
sale,DT,O
or,NN,O
purchase,IN,O
of,NN,O
goods,IN,O
which,DT,O
too,NN,O
has,CC,O
been,NN,O
inserted,IN,O
as,NNS,O
clause,WDT,O
29,RB,O
a,VBZ,O
in,VBN,O
article,VBN,O
366,IN,O
by,NN,O
sixth,CD,O
amendment,DT,O
opined,IN,O
that,NN,O
the,CD,O
situs,IN,O
of,JJ,O
sale,NN,O
can,VBD,O
be,IN,O
fixed,DT,O
either,NN,O
by,IN,O
the,NN,O
appropriate,MD,B-LEGAL
legislature,VB,O
or,VBN,O
by,RB,O
judge,IN,O
made,DT,O
law,JJ,O
and,NN,O
no,CC,O
settled,IN,O
principles,NN,O
for,VBN,O
determining,NN,O
situs,CC,O
of,DT,O
sale,JJ,O
can,NNS,O
be,IN,O
laid,VBG,O
down,NN,O
further,IN,O
the,NN,O
state,MD,O
legislature,VB,O
cannot,VBN,O
by,RP,O
law,RBR,O
treat,DT,O
sales,NN,O
outside,NN,O
the,MD,O
state,RB,O
and,IN,O
sales,NN,O
in,NN,O
the,NNS,O
course,IN,O
of,DT,O
import,NN,B-LEGAL
as,CC,O
sales,NNS,O
within,IN,O
the,DT,O
state,NN,O
by,IN,O
fixing,NN,O
the,IN,O
situs,NNS,O
of,IN,O
sales,DT,O
within,NN,O
its,IN,O
state,VBG,O
in,DT,O
the,NN,O
definition,IN,B-LEGAL
of,NNS,O
sale,IN,O
as,PRP$,O
it,NN,O
is,IN,O
within,DT,O
the,NN,O
exclusive,IN,O
domain,NN,O
of,IN,O
the,PRP,O
appropriate,VBZ,B-LEGAL
legislature,IN,O
ie,DT,O
parliament,JJ,O
to,NN,O
fix,IN,O
the,DT,O
location,JJ,O
of,NN,O
sale,NN,O
by,NN,O
creating,TO,O
legal,VB,O
fiction,DT,O
or,NN,O
otherwise,IN,O
the,NN,O
majority,IN,O
has,VBG,O
clearly,JJ,O
opined,NN,O
that,CC,O
the,VB,O
state,DT,O
where,NN,O
the,VBZ,O
goods,RB,O
are,VBN,O
delivered,IN,O
in,DT,O
the,NN,O
transaction,WRB,O
of,DT,O
inter,NNS,B-LEGAL
state,VBP,O
sale,VBN,O
cannot,IN,O
levy,DT,O
a,NN,O
tax,IN,O
on,NN,O
the,NN,O
basis,NN,O
that,MD,O
one,RB,O
of,VB,O
the,DT,O
events,NN,O
in,IN,O
the,DT,O
chain,NN,O
has,IN,O
taken,CD,O
place,IN,O
within,DT,O
the,NNS,O
state,IN,O
so,DT,O
also,NN,O
where,VBZ,O
the,VBN,O
goods,NN,O
are,IN,O
in,DT,O
existence,NN,O
and,RB,O
available,RB,O
for,WRB,O
the,DT,O
transfer,NNS,O
of,VBP,O
right,IN,O
to,NN,O
use,CC,O
there,JJ,O
also,IN,O
that,DT,O
state,NN,O
cannot,IN,O
exercise,NN,O
power,TO,O
to,VB,O
tax,EX,O
merely,RB,O
because,IN,O
the,NN,O
goods,MD,O
are,RB,O
located,VB,O
in,NN,O
that,TO,O
state,NN,O
then,RB,O
it,IN,O
was,DT,O
observed,NNS,O
that,VBP,O
in,VBN,O
case,IN,O
where,DT,O
goods,NN,O
are,RB,O
not,PRP,O
in,VBD,O
existence,VBN,O
or,IN,O
where,IN,O
there,NN,O
is,WRB,O
an,NNS,O
oral,VBP,O
or,RB,O
implied,IN,O
transfer,NN,O
of,CC,O
the,WRB,O
right,EX,O
to,VBZ,O
use,DT,O
the,JJ,O
goods,CC,O
such,JJ,O
transactions,NN,O
may,IN,O
be,DT,O
effected,NN,O
by,TO,O
the,VB,O
delivery,DT,O
of,NNS,O
the,JJ,O
goods,NNS,O
in,MD,O
which,VB,O
case,VBN,O
the,IN,O
taxable,DT,O
event,NN,O
would,IN,O
be,DT,O
on,NNS,O
the,IN,O
delivery,WDT,O
of,NN,O
goods,DT,O
however,JJ,O
we,NN,O
are,MD,O
dealing,VB,O
with,IN,O
the,DT,O
case,NN,O
of,IN,O
electricity,NNS,O
as,RB,O
goods,PRP,O
the,VBP,O
property,VBG,O
whereof,IN,O
as,DT,O
we,NN,O
have,IN,O
already,NN,O
noted,IN,O
is,NNS,O
that,DT,O
the,NN,O
production,NN,O
generation,IN,O
transmission,PRP,O
delivery,VBP,O
and,RB,O
consumption,VBN,B-LEGAL
are,VBZ,O
simultaneous,IN,O
almost,DT,O
instantaneous,NN,O
electricity,NN,O
as,NN,O
goods,NN,O
comes,CC,O
into,NN,O
existence,VBP,O
and,JJ,O
is,RB,O
consumed,JJ,O
simultaneously,NN,O
the,IN,O
event,NNS,O
of,VBZ,O
sale,IN,O
in,NN,O
the,CC,O
sense,VBZ,O
of,VBN,O
transferring,RB,O
property,DT,O
in,NN,O
the,IN,O
goods,NN,O
merely,IN,O
intervenes,DT,O
as,NN,O
a,IN,O
step,VBG,O
between,NN,O
generation,IN,O
and,DT,O
consumption,NNS,B-LEGAL
in,RB,O
such,NNS,O
a,IN,O
case,DT,O
when,NN,O
the,IN,O
generation,NN,O
takes,CC,O
place,NN,O
in,IN,O
one,PDT,O
state,DT,O
wherefrom,NN,O
it,WRB,O
is,DT,O
supplied,NN,O
and,VBZ,O
it,NN,O
is,IN,O
received,CD,O
in,NN,O
another,IN,O
state,PRP,O
where,VBZ,O
it,VBN,O
is,CC,O
consumed,PRP,O
the,VBZ,O
entire,VBN,O
transaction,IN,O
is,DT,O
one,NN,O
and,WRB,O
can,PRP,O
be,VBZ,O
nothing,VBN,O
else,DT,O
excepting,JJ,O
an,NN,O
inter,VBZ,B-LEGAL
state,CD,O
sale,CC,O
on,MD,O
account,VB,O
of,NN,O
instantaneous,RB,O
movement,VBG,O
of,DT,O
goods,NN,O
from,NN,O
one,NN,O
state,IN,O
to,NN,O
another,IN,O
occasioned,JJ,O
by,NN,O
the,IN,O
sale,NNS,O
or,IN,O
purchase,CD,O
of,NN,O
goods,TO,O
squarely,DT,O
covered,VBN,O
by,IN,O
section,DT,O
3,NN,O
of,CC,O
cst,NN,O
act,IN,O
sale,NNS,O
of,RB,O
electricity,VBN,O
by,IN,O
ntpcl,NN,O
31,CD,O
in,IN,O
both,NN,O
the,NN,O
cases,NN,O
before,IN,O
us,NN,O
contracts,IN,O
have,JJ,O
been,CD,O
entered,IN,O
into,DT,O
between,DT,O
parties,NNS,O
to,IN,O
the,PRP,O
transaction,NNS,O
that,VBP,O
is,VBN,O
the,VBN,O
sellers,IN,O
and,IN,O
the,NNS,O
buyers,TO,O
in,DT,O
other,NN,O
states,WDT,O
prior,VBZ,O
to,DT,O
the,NNS,O
generation,CC,O
of,DT,O
electricity,NNS,O
the,IN,O
ntpcl,JJ,O
generates,NNS,O
electricity,RB,O
and,TO,O
pursuant,DT,O
to,NN,O
these,IN,O
contracts,NN,O
supplies,DT,O
the,NN,O
same,VBZ,O
from,NN,O
its,CC,O
power,NN,O
stations,TO,O
situated,DT,O
in,NNS,O
the,VBP,O
states,DT,O
of,JJ,O
ap,IN,O
or,PRP$,O
mp,NN,O
to,NNS,O
the,VBN,O
buyers,IN,O
in,DT,O
other,NNS,O
states,IN,O
where,NN,O
it,CC,O
is,NN,O
received,TO,O
and,DT,O
consumed,NNS,O
there,IN,O
is,JJ,O
no,NNS,O
hiatus,WRB,O
between,PRP,O
generation,VBZ,O
sale,VBN,O
supply,CC,O
transmission,VBN,O
delivery,EX,O
and,VBZ,O
consumption,DT,B-LEGAL
the,NN,O
inter,IN,B-LEGAL
state,NN,O
movement,NN,O
of,NN,O
electricity,NN,O
is,NN,O
pursuant,CC,O
to,NN,O
contracts,DT,O
of,NN,O
sale,NN,O
such,NN,O
sales,IN,O
can,NN,O
be,VBZ,O
held,JJ,O
only,TO,O
as,NNS,O
inter,IN,B-LEGAL
state,NN,O
sales,JJ,O
32,NNS,O
though,MD,O
it,VB,O
may,VBN,O
be,RB,O
permissible,IN,O
to,JJ,O
fix,NN,O
the,NNS,O
situs,CD,O
of,IN,O
sale,PRP,O
wither,MD,O
by,VB,O
appropriate,JJ,B-LEGAL
state,TO,O
legislation,VB,O
or,DT,O
by,NN,O
judge,IN,O
made,NN,O
law,NN,O
as,IN,O
held,JJ,O
by,NN,O
the,NN,O
majority,CC,O
opinion,IN,O
in,NN,O
20th,VBN,O
century,NN,O
finance,IN,O
corporation,VBN,O
case,IN,O
we,DT,O
would,NN,O
like,NN,O
to,IN,O
clarify,JJ,O
that,NN,O
none,NN,O
of,NN,O
the,NN,O
two,PRP,O
can,MD,O
artificially,VB,O
appoint,TO,O
a,VB,O
situs,IN,O
of,NN,O
sale,IN,O
so,DT,O
as,CD,O
to,MD,O
create,RB,O
territorial,VB,O
nexus,DT,O
attracting,NN,O
applicability,IN,O
of,NN,O
tax,RB,O
legislation,IN,O
enacted,TO,O
by,VB,O
any,JJ,O
state,JJ,O
legislature,VBG,O
and,NN,O
tax,IN,O
an,NN,O
inter,NN,B-LEGAL
state,VBN,O
sale,IN,O
in,DT,O
breach,NN,O
of,NN,O
section,CC,O
3,NN,O
of,DT,O
the,NN,O
cst,NN,O
act,NN,O
read,IN,O
with,NN,O
articles,IN,O
2862,NN,O
and,CD,O
2691,IN,O
and,DT,O
3,NN,O
of,NN,O
the,VBN,O
constitution,IN,O
no,NNS,O
state,CD,O
legislation,CC,O
nor,CD,O
any,CC,O
stipulation,CD,O
in,IN,O
any,DT,O
contract,NN,B-LEGAL
can,DT,O
fix,NN,O
the,NN,O
situs,CC,O
of,DT,O
sale,NN,O
within,IN,O
the,DT,O
state,NN,O
or,MD,O
artificially,VB,O
define,DT,O
the,NN,O
completion,IN,O
of,NN,O
sale,IN,O
in,DT,O
such,NN,O
a,CC,O
way,RB,O
as,VB,O
to,DT,O
convert,NN,O
an,IN,O
inter,NN,B-LEGAL
state,IN,O
sale,JJ,O
into,DT,O
an,NN,O
intra,IN,O
state,TO,O
sale,VB,O
or,DT,O
create,NN,O
a,NN,O
territorial,NN,O
nexus,IN,O
to,DT,O
tax,JJ,O
an,NN,O
inter,NN,B-LEGAL
state,CC,O
sale,VB,O
unless,DT,O
permitted,JJ,O
by,NN,O
an,TO,O
appropriate,NN,B-LEGAL
central,DT,O
legislation,NN,O
but,NN,O
this,NN,O
is,IN,O
exactly,VBN,O
what,IN,O
the,DT,O
definition,JJ,B-LEGAL
of,JJ,O
consumer,NN,O
in,CC,O
clause,DT,O
2a,VBZ,O
of,RB,O
the,WP,O
mp,DT,O
electricity,NN,O
duty,IN,O
act,NN,O
1949,IN,O
has,NN,O
done,CD,O
the,IN,O
definition,DT,B-LEGAL
of,JJ,O
consumer,NN,O
has,NN,O
been,NN,O
artificially,CD,O
extended,VBZ,O
to,VBN,O
include,DT,O
any,NN,O
person,IN,O
who,NN,O
receives,VBZ,O
electrical,VBN,O
energy,RB,O
without,VBN,O
regard,TO,O
to,VB,O
its,DT,O
consumption,NN,B-LEGAL
and,WP,O
also,VBZ,O
to,JJ,O
include,NN,O
a,IN,O
person,NN,O
who,TO,O
receiving,PRP$,O
the,NN,O
electrical,CC,O
energy,RB,O
in,TO,O
bulk,VB,O
forwards,DT,O
it,NN,O
onwards,WP,O
for,VBG,O
distribution,DT,O
without,JJ,O
regard,NN,O
to,IN,O
the,NN,O
fact,NNS,O
whether,PRP,O
it,VBZ,O
transmitted,IN,O
outside,NN,O
the,IN,O
state,NN,O
and,TO,O
whether,DT,O
the,NN,O
electricity,IN,O
is,PRP,O
or,VBD,O
is,IN,O
not,DT,O
consumed,NN,O
within,CC,O
the,IN,O
state,DT,O
the,NN,O
same,VBZ,O
definition,CC,B-LEGAL
has,VBZ,O
been,RB,O
adopted,VBN,O
in,IN,O
mp,DT,O
upkar,NN,O
adhiniyam,DT,O
1981,JJ,O
this,NN,O
definition,VBZ,B-LEGAL
of,VBN,O
consumer,VBN,O
shall,IN,O
have,NN,O
to,NN,O
be,NN,O
read,CD,O
down,DT,O
as,NN,O
including,IN,O
within,NN,O
it,MD,O
only,VB,O
such,TO,O
persons,VB,O
who,VBN,O
receive,RP,O
the,IN,O
electricity,VBG,O
for,IN,O
consumption,PRP,B-LEGAL
or,RB,O
distribution,JJ,O
for,NNS,O
consumption,WP,B-LEGAL
within,VBP,O
the,DT,O
state,NN,O
without,IN,O
such,NN,O
reading,CC,O
down,NN,O
the,IN,O
definition,NN,B-LEGAL
of,IN,O
consumer,DT,O
would,NN,O
be,IN,O
rendered,JJ,O
ultra,VBG,O
vires,RP,O
of,DT,O
articles,NN,O
286,IN,O
and,NN,O
269,MD,O
of,VB,O
the,VBN,O
