hl,NN,O
on,IN,O
behalf,DT,O
of,NN,O
the,IN,O
company,DT,B-LEGAL
54,NN,O
in,CC,O
light,IN,O
of,NN,O
the,IN,O
aforesaid,DT,O
we,NN,O
would,CD,O
conclude,IN,O
that,NN,O
an,IN,O
official,DT,O
liquidator,NN,O
i,PRP,O
derives,MD,O
its,VB,O
authority,IN,B-LEGAL
from,DT,O
the,JJ,O
provisions,NN,O
of,JJ,O
the,VBZ,O
act,PRP$,O
1956,NN,O
ii,IN,O
acts,DT,O
on,NNS,O
behalf,IN,O
of,DT,O
the,NN,O
company,CD,B-LEGAL
in,JJ,O
liquidation,NNS,O
for,IN,O
the,NN,O
purposes,IN,O
prescribed,DT,O
by,NN,O
the,IN,O
act,NN,O
1956,IN,O
iii,DT,O
is,NNS,O
appointed,VBN,O
by,IN,O
and,DT,O
is,NN,O
under,CD,O
the,NN,O
control,VBZ,O
and,VBN,O
supervision,IN,O
of,CC,O
the,VBZ,O
court,IN,O
while,DT,O
discharging,NN,O
his,CC,O
duties,NN,O
55,IN,O
having,DT,O
determined,NN,O
the,IN,O
status,VBG,O
of,PRP$,O
an,NNS,O
official,CD,O
liquidator,VBG,O
under,VBN,O
the,DT,O
act,NN,O
1963,IN,O
it,DT,O
would,JJ,O
now,NN,O
be,IN,O
appropriate,DT,O
for,NN,O
this,CD,O
court,PRP,O
to,MD,O
look,RB,O
into,VB,O
the,JJ,O
nature,IN,O
of,DT,O
liability,NN,O
if,TO,O
any,VB,O
imposed,IN,O
on,DT,O
the,NN,O
official,IN,O
liquidator,NN,O
for,IN,O
the,DT,O
purposes,VBN,O
of,IN,O
taxation,DT,O
for,JJ,O
this,NN,O
purpose,IN,O
we,DT,O
require,NNS,O
to,IN,O
consider,NN,O
rule,IN,O
54,DT,O
of,NN,O
the,PRP,O
rules,VBP,O
1963,TO,O
which,VB,O
imposes,NN,O
liability,CD,O
inter,IN,O
alia,DT,O
on,NNS,O
a,CD,O
receiver,WDT,O
or,VBZ,O
manager,NN,O
or,NN,O
other,VBP,O
person,IN,O
appointed,DT,O
by,NN,O
an,CC,O
order,NN,O
of,CC,O
the,JJ,O
court,NN,O
in,VBN,O
the,IN,O
event,DT,O
that,NN,O
a,IN,O
business,DT,O
owned,NN,O
by,IN,O
a,DT,O
dealer,NN,O
is,IN,O
under,DT,O
the,NN,O
control,VBN,O
of,IN,O
the,DT,O
said,NN,O
receiver,VBZ,O
or,IN,O
manager,DT,O
or,NN,O
person,IN,O
whatever,DT,O
be,VBD,O
his,NN,O
designation,CC,O
who,NN,O
in,CC,O
fact,NN,O
manages,WDT,O
the,VB,O
business,PRP$,O
on,NN,O
behalf,WP,O
of,IN,O
the,NN,O
dealer,VBZ,O
the,DT,O
aforesaid,NN,O
rule,IN,O
expressly,NN,O
provides,IN,O
that,DT,O
tax,NN,O
shall,DT,O
be,NN,O
levied,NN,O
upon,RB,O
and,VBZ,O
recoverable,IN,O
from,NN,O
such,MD,O
receiver,VB,O
manager,VBN,O
etc,IN,O
in,CC,O
the,JJ,O
same,IN,O
manner,JJ,O
as,NN,O
it,NN,O
would,NN,O
be,IN,O
leviable,DT,O
upon,JJ,O
and,NN,O
recoverable,IN,O
from,PRP,O
the,MD,O
dealer,VB,O
such,JJ,O
tax,NN,O
liability,CC,O
may,JJ,O
be,IN,O
incurred,DT,O
by,NN,O
any,JJ,O
person,NN,O
managing,NN,O
or,MD,O
conducting,VB,O
the,VBN,O
business,IN,O
on,DT,O
behalf,NN,O
of,VBG,O
the,CC,O
dealer,VBG,O
the,DT,O
tax,NN,O
liability,IN,O
incurred,NN,O
by,IN,O
such,DT,O
person,NN,O
will,DT,O
be,NN,O
equivalent,NN,O
to,VBN,O
the,IN,O
liability,JJ,O
which,NN,O
would,MD,O
be,VB,O
levied,JJ,O
upon,TO,O
the,DT,O
dealer,NN,O
if,WDT,O
he,MD,O
were,VB,O
conducting,VBN,O
such,IN,O
business,DT,O
further,NN,O
that,IN,O
under,PRP,O
rule,VBD,O
233,VBG,O
of,JJ,O
the,NN,O
rules,RBR,O
1959,WDT,O
for,IN,O
the,NN,O
purposes,CD,O
of,IN,O
acquiring,DT,O
and,NNS,O
retaining,CD,O
possession,IN,O
of,DT,O
the,NNS,O
property,IN,O
of,VBG,O
the,CC,O
company,VBG,B-LEGAL
in,NN,O
liquidation,IN,O
the,DT,O
official,NN,O
liquidator,IN,O
would,DT,O
be,NN,O
in,IN,O
the,NN,O
same,DT,O
position,JJ,O
as,NN,O
a,MD,O
receiver,VB,O
56,IN,O
since,DT,O
the,JJ,O
official,NN,O
liquidator,IN,O
is,DT,O
akin,NN,O
to,CD,O
an,IN,O
agent,DT,O
employed,JJ,O
for,NN,O
the,VBZ,O
purpose,JJ,O
of,TO,O
winding,DT,O
up,NN,O
of,VBN,O
a,IN,O
company,DT,B-LEGAL
he,NN,O
steps,IN,O
into,VBG,O
the,IN,O
shoes,IN,O
of,DT,O
the,NN,O
directors,PRP,O
of,VBZ,O
the,IN,O
said,DT,O
company,NNS,B-LEGAL
for,IN,O
the,DT,O
purposes,NNS,O
of,IN,O
discharging,DT,O
the,VBD,O
statutory,NN,O
functions,IN,O
of,DT,O
an,NNS,O
official,IN,O
liquidator,VBG,O
thus,DT,O
during,JJ,O
the,NNS,O
said,IN,O
proceedings,DT,O
the,JJ,O
directors,NN,O
cease,RB,O
to,IN,O
exercise,DT,O
any,VBD,O
functions,NNS,O
from,DT,O
the,NNS,O
date,VBP,O
on,TO,O
which,VB,O
the,DT,O
official,NNS,O
liquidator,IN,O
is,DT,O
appointed,NN,O
and,IN,O
all,WDT,O
powers,DT,O
and,NN,O
functions,NN,O
for,VBZ,O
carrying,VBN,O
on,CC,O
the,DT,O
business,NNS,O
of,CC,O
the,NNS,O
company,IN,B-LEGAL
thereafter,VBG,O
vest,IN,O
with,DT,O
the,NN,O
official,IN,O
liquidator,DT,O
57,NN,O
having,RB,O
glanced,NN,O
through,IN,O
the,DT,O
settled,JJ,O
principles,NN,O
of,CD,O
law,VBG,O
we,VBN,O
would,IN,O
revert,DT,O
back,JJ,O
to,NNS,O
the,IN,O
controversy,NN,O
in,PRP,O
the,MD,O
present,VB,O
appeals,RB,O
the,TO,O
first,DT,O
issue,NN,O
canvassed,IN,O
before,DT,O
this,JJ,O
court,NNS,O
by,DT,O
the,JJ,O
learned,NN,O
counsel,VBN,O
for,IN,O
the,DT,O
parties,NN,O
to,IN,O
the,DT,O
lis,JJ,O
is,NN,O
whether,IN,O
the,DT,O
official,NNS,O
liquidator,TO,O
herein,DT,O
would,NN,O
fall,VBZ,O
under,IN,O
the,DT,O
purview,JJ,O
of,NN,O
a,NN,O
dealer,MD,O
as,VB,O
defined,IN,O
under,DT,O
the,NN,O
act,IN,O
1963,DT,O
and,NN,O
secondly,IN,O
whether,VBN,O
the,IN,O
official,DT,O
liquidator,NN,O
would,CD,O
be,CC,O
liable,RB,O
to,IN,O
pay,DT,O
sales,JJ,O
tax,NN,O
in,MD,O
respect,VB,O
of,JJ,O
sales,TO,O
effected,VB,O
by,NNS,O
him,NN,O
pursuant,IN,O
to,NN,O
winding,IN,O
up,NNS,O
proceedings,VBN,O
58,IN,O
in,PRP,O
the,VB,O
present,TO,O
case,VBG,O
the,RP,O
official,NNS,O
liquidator,CD,O
had,IN,O
issued,DT,O
a,JJ,O
notice,NN,O
inviting,DT,O
tenders,JJ,O
for,NN,O
the,VBD,O
sale,VBN,O
of,DT,O
the,JJ,O
assets,NN,O
of,NNS,O
the,IN,O
company,DT,B-LEGAL
the,NN,O
offer,IN,O
of,DT,O
the,NNS,O
auction,IN,O
purchaser,DT,O
was,NN,O
accepted,DT,O
and,NN,O
duly,IN,O
confirmed,DT,O
by,NN,O
the,NN,O
high,VBD,O
court,VBN,O
however,CC,O
the,RB,O
dispute,VBN,O
herein,IN,O
arose,DT,O
in,JJ,O
respect,NN,O
to,RB,O
determination,DT,O
of,NN,O
which,NN,O
party,VBD,O
would,IN,O
be,NN,O
exigible,TO,O
to,NN,O
sales,IN,O
tax,WDT,O
59,NN,O
from,MD,O
the,VB,O
discussion,JJ,O
in,TO,O
the,NNS,O
preceding,NN,O
paragraphs,CD,O
we,IN,O
can,DT,O
conclude,NN,O
an,IN,O
official,DT,O
liquidator,VBG,O
is,NN,O
an,PRP,O
officer,MD,O
of,VB,O
the,DT,O
court,JJ,O
and,NN,O
that,VBZ,O
for,DT,O
the,NN,O
purpose,IN,O
of,DT,O
discharging,NN,O
statutory,CC,O
obligations,DT,O
imposed,IN,O
under,DT,O
the,NN,O
act,IN,O
1956,VBG,O
the,JJ,O
official,NNS,O
liquidator,VBN,O
merely,IN,O
steps,DT,O
into,NN,O
the,CD,O
shoes,DT,O
of,JJ,O
the,NN,O
company,RB,B-LEGAL
in,VBZ,O
liquidation,IN,O
by,DT,O
virtue,NNS,O
of,IN,O
the,DT,O
notice,NN,O
issued,IN,O
by,NN,O
the,IN,O
official,NN,O
liquidator,IN,O
for,DT,O
inviting,NN,O
tenders,VBN,O
dated,IN,O
26112001,DT,O
it,JJ,O
is,NN,O
amply,IN,O
evident,VBG,O
that,NNS,O
the,VBD,O
liquidator,CD,O
intended,PRP,O
to,VBZ,O
conduct,JJ,O
a,JJ,O
transfer,IN,O
of,DT,O
the,NN,O
said,VBD,O
goods,TO,O
in,VB,O
liquidation,DT,O
since,NN,O
the,IN,O
conduct,DT,O
of,VBD,O
an,NNS,O
auctioned,IN,O
sale,NN,O
involved,IN,O
transfer,DT,O
of,NN,O
goods,IN,O
it,DT,O
falls,JJ,O
within,NN,O
the,VBN,O
wide,NN,O
ambit,IN,O
of,NNS,O
section,PRP,O
2viiif,VBZ,O
of,IN,O
the,DT,O
act,JJ,O
1963,NN,O
60,IN,O
the,NN,O
observation,CD,O
of,IN,O
the,DT,O
court,NN,O
of,CD,O
appeals,CD,O
in,DT,O
the,NN,O
re,IN,O
mesco,DT,O
properties,NN,O
case,IN,O
supra,NNS,O
would,IN,O
appear,DT,O
to,NN,O
be,NN,O
squarely,NNS,O
applicable,NN,O
to,NN,O
be,MD,O
present,VB,O
factual,TO,O
matrix,VB,O
that,RB,O
is,JJ,O
during,TO,O
a,VB,O
winding,JJ,O
up,JJ,O
proceedings,NN,O
if,WDT,O
tax,VBZ,O
requires,IN,O
to,DT,O
be,VBG,O
collected,RP,O
from,NNS,O
the,IN,O
company,NN,B-LEGAL
in,VBZ,O
liquidation,TO,O
the,VB,O
liquidator,VBN,O
would,IN,O
be,DT,O
the,NN,O
proper,IN,O
officer,NN,O
to,DT,O
pay,NN,O
the,MD,O
same,VB,O
61,DT,O
this,JJ,O
court,NN,O
has,TO,O
noticed,VB,O
hereinabove,DT,O
that,JJ,O
the,CD,O
company,DT,B-LEGAL
in,NN,O
liquidation,VBZ,O
is,VBN,O
a,IN,O
dealer,IN,O
with,DT,O
regard,NN,O
to,IN,O
the,NN,O
sale,VBZ,O
of,DT,O
its,NN,O
assets,IN,O
by,NN,O
way,TO,O
of,DT,O
an,NN,O
auction,IN,O
under,PRP$,O
a,NNS,O
winding,IN,O
up,NN,O
order,IN,O
further,DT,O
we,NN,O
have,IN,O
noticed,DT,O
the,VBG,O
settled,RP,O
law,NN,O
that,RB,O
an,PRP,O
official,VBP,O
liquidator,VBN,O
steps,DT,O
into,JJ,O
the,NN,O
shoes,IN,O
of,DT,O
the,JJ,O
director,NN,B-LEGAL
of,NNS,O
the,IN,O
company,DT,B-LEGAL
in,NNS,O
liquidation,IN,O
and,DT,O
performs,NN,O
his,IN,O
statutory,DT,O
functions,NN,O
in,IN,O
accordance,NN,O
with,CC,O
the,VB,O
directives,PRP$,O
of,JJ,O
the,NNS,O
court,IN,O
furthermore,NN,O
rule,IN,O
54,DT,O
of,NNS,O
the,IN,O
rules,DT,O
1963,NN,O
contemplates,VBD,O
a,JJ,O
situation,CD,O
where,IN,O
a,DT,O
business,NNS,O
owned,CD,O
by,VBZ,O
a,DT,O
dealer,NN,O
is,WRB,O
under,DT,O
the,NN,O
control,VBN,O
of,IN,O
a,DT,O
receiver,NN,O
or,VBZ,O
manager,IN,O
or,DT,O
any,NN,O
other,IN,O
person,DT,O
irrespective,NN,O
of,CC,O
his,NN,O
designation,CC,O
who,DT,O
manages,JJ,O
the,NN,O
business,NN,O
on,IN,O
behalf,PRP$,O
of,NN,O
the,WP,O
said,VBZ,O
dealer,DT,O
in,NN,O
the,IN,O
said,NN,O
scenario,IN,O
the,DT,O
said,VBD,O
person,NN,O
in,IN,O
charge,DT,B-LEGAL
of,VBD,O
the,NN,O
business,DT,O
on,VBD,O
behalf,NN,O
of,IN,O
the,NN,O
dealer,IN,O
would,DT,O
be,NN,O
exigible,IN,O
to,NN,O
sales,IN,O
tax,DT,O
in,NN,O
the,MD,O
same,VB,O
manner,JJ,O
as,TO,O
it,NNS,O
would,NN,O
have,IN,O
been,DT,O
leviable,JJ,O
upon,NN,O
and,IN,O
recoverable,PRP,O
from,MD,O
the,VB,O
dealer,VBN,O
itself,JJ,O
therefore,NN,O
it,CC,O
can,JJ,O
be,IN,O
concluded,DT,O
that,NN,O
the,PRP,O
liability,IN,O
to,PRP,O
pay,MD,O
sales,VB,O
tax,VBN,O
in,IN,O
the,DT,O
present,NN,O
case,TO,O
would,VB,O
be,NNS,O
on,NN,O
the,IN,O
official,DT,O
liquidator,JJ,O
in,NN,O
the,MD,O
same,VB,O
manner,IN,O
as,DT,O
the,JJ,O
dealer,NN,O
that,IN,O
is,DT,O
the,JJ,O
company,NN,B-LEGAL
in,IN,O
liquidation,DT,O
62,NN,O
pursuant,WDT,O
to,VBZ,O
section,DT,O
5,NN,O
of,IN,O
the,NN,O
act,CD,O
1963,NN,O
the,TO,O
company,NN,B-LEGAL
in,CD,O
liquidation,IN,O
as,DT,O
a,NN,O
dealer,CD,O
will,DT,O
incur,NN,O
liability,IN,O
to,NN,O
pay,IN,O
sales,DT,O
tax,NN,O
at,MD,O
the,VB,O
point,NN,O
of,TO,O
first,VB,O
sale,NNS,O
as,NN,O
incurred,IN,O
by,DT,O
any,NN,O
other,IN,O
dealer,JJ,O
under,NN,O
the,IN,O
said,VBN,O
act,IN,O
by,DT,O
placing,JJ,O
reliance,NN,O
upon,IN,O
rule,DT,O
54,VBD,O
of,NN,O
the,IN,O
rules,VBG,O
1963,NN,O
the,IN,O
liability,NN,O
to,CD,O
pay,IN,O
sales,DT,O
tax,NNS,O
is,CD,O
borne,DT,O
by,NN,O
the,TO,O
official,VB,O
liquidator,NNS,O
as,NN,O
a,VBZ,O
manager,VBN,O
or,IN,O
receiver,DT,O
of,JJ,O
the,NN,O
property,IN,O
of,DT,O
the,NN,O
company,CC,B-LEGAL
in,NN,O
liquidation,IN,O
therefore,DT,O
we,NN,O
are,IN,O
of,DT,O
the,NN,O
considered,IN,O
opinion,NN,O
that,IN,O
the,PRP,O
official,VBP,O
liquidator,IN,O
would,DT,O
be,VBN,O
required,NN,O
to,IN,O
pay,DT,O
the,JJ,O
tax,NN,O
payable,MD,O
on,VB,O
the,VBN,O
sale,TO,O
of,VB,O
the,DT,O
assets,NN,O
of,NN,O
the,IN,O
company,DT,B-LEGAL
in,NN,O
liquidation,IN,O
63,DT,O
as,NNS,O
regards,IN,O
the,DT,O
liability,NN,O
of,IN,O
the,NN,O
auction,CD,O
purchaser,IN,O
this,NNS,O
court,DT,O
in,NN,O
an,IN,O
order,DT,O
passed,NN,O
in,NN,O
civil,DT,O
appeal,NN,O
no,IN,O
5048,DT,O
of,NN,O
2003,VBN,O
has,IN,O
observed,JJ,O
that,NN,O
in,DT,O
view,CD,O
of,IN,O
facts,CD,O
and,VBZ,O
circumstances,VBN,O
of,IN,O
the,IN,O
case,NN,O
the,IN,O
auction,NNS,O
purchaser,CC,O
would,NNS,O
not,IN,O
be,DT,O
liable,NN,O
to,DT,O
pay,NN,O
sales,NN,O
tax,MD,O
the,RB,O
offer,VB,O
of,JJ,O
the,TO,O
auction,VB,O
purchaser,NNS,O
as,NN,O
accepted,DT,O
by,NN,O
the,IN,O
official,DT,O
liquidator,NN,O
and,NN,O
confirmed,IN,O
by,VBN,O
the,IN,O
high,DT,O
court,JJ,O
was,NN,O
inclusive,CC,O
of,VBN,O
all,IN,O
taxes,DT,O
it,JJ,O
would,NN,O
have,VBD,O
been,JJ,O
the,IN,O
bounden,DT,O
duty,NNS,O
of,PRP,O
the,MD,O
official,VB,O
liquidator,VBN,O
to,DT,O
have,JJ,O
separated,NN,O
an,IN,O
amount,DT,O
for,JJ,O
the,NN,O
payment,TO,O
of,VB,O
taxes,VBN,O
under,DT,O
the,NN,O
act,IN,O
1963,DT,O
to,NN,O
avoid,IN,O
any,NNS,O
liability,IN,O
it,DT,O
would,NN,O
be,CD,O
gainsaid,TO,O
in,VB,O
repeating,DT,O
that,NN,O
the,PRP,O
special,MD,O
government,VB,O
pleader,VBN,O
taxes,IN,O
on,VBG,O
behalf,IN,O
of,DT,O
the,JJ,O
revenue,NN,O
before,NN,O
the,NNS,O
learned,IN,O
single,NN,O
judge,IN,O
of,DT,O
the,NN,O
high,IN,O
court,DT,O
had,VBN,O
clearly,JJ,O
stated,NN,O
that,IN,O
the,DT,O
liability,JJ,O
to,NN,O
pay,VBD,O
sales,RB,O
tax,VBN,O
would,IN,O
be,DT,O
on,NN,O
the,TO,O
official,VB,O
liquidator,NNS,O
64,NN,O
in,MD,O
the,VB,O
result,IN,O
we,DT,O
allow,JJ,O
these,NN,O
appeals,CD,O
and,IN,O
set,DT,O
aside,NN,O
the,PRP,O
impugned,VBP,O
judgments,DT,O
and,NNS,O
orders,CC,O
passed,VB,O
by,RB,O
the,DT,O
high,JJ,O
court,NNS,O
ordered,CC,O
accordingly,NNS,O
