rp,NN,O
the,NN,O
said,IN,O
deduction,DT,O
shall,JJ,O
be,NN,O
in,NN,O
lieu,CC,O
of,DT,O
all,VBD,O
allowances,NN,O
for,MD,O
repairs,VB,O
or,IN,O
any,NN,O
other,IN,O
account,DT,O
whatsoever,NNS,O
sub,IN,O
clause,NNS,O
ii,CC,O
of,DT,O
the,JJ,O
definition,NN,O
provided,RB,O
that,RB,O
in,NN,O
relation,NN,O
to,IN,O
any,DT,O
other,NN,O
period,VBD,O
the,IN,O
annual,IN,B-LEGAL
rent,NN,I-LEGAL
for,TO,O
which,DT,O
any,JJ,O
building,NN,O
or,DT,O
land,JJ,O
or,NN,O
premises,IN,O
exclusive,WDT,O
of,DT,O
furniture,NN,O
or,CC,O
machinery,NN,O
contained,CC,O
or,VBZ,O
situate,JJ,O
therein,IN,O
or,NN,O
thereon,CC,O
might,NN,O
reasonably,VBD,O
be,CC,O
expected,VB,O
to,NNS,O
let,CC,O
from,NN,O
year,MD,O
to,RB,O
year,VB,O
with,VBN,O
reference,TO,O
to,VB,O
its,IN,O
use,NN,O
and,TO,O
shall,NN,O
include,IN,O
all,NN,O
payments,TO,O
made,PRP$,O
or,NN,O
agreed,CC,O
to,MD,O
be,VB,O
made,DT,O
to,NNS,O
the,VBD,O
owners,CC,O
by,VBD,O
a,TO,O
person,VB,O
other,VBN,O
than,TO,O
the,DT,O
owner,NNS,O
occupying,IN,O
the,DT,O
building,NN,O
or,JJ,O
land,IN,O
or,DT,O
premises,NN,O
on,VBG,O
account,DT,O
of,NN,O
occupation,CC,O
taxes,NN,O
insurance,CC,O
or,NNS,O
other,IN,O
charges,NN,O
incidental,IN,O
thereto,NN,O
the,NNS,O
proviso,NN,O
added,CC,O
to,JJ,O
sub,NNS,O
clause,JJ,O
ii,IN,O
was,DT,O
to,NN,O
the,VBD,O
following,TO,O
effect,VB,O
a,NN,O
im,NN,O
respect,VBD,O
of,TO,O
any,DT,O
building,JJ,O
or,NN,O
land,DT,O
or,JJ,O
premises,NN,O
the,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
of,CC,O
which,NN,O
has,CC,O
been,VBZ,O
fixed,DT,O
under,JJ,O
section,NN,O
11,IN,O
of,WDT,O
the,VBZ,O
bombay,VBN,O
rents,VBN,O
hotel,IN,O
and,NN,O
lodging,CD,O
house,IN,O
rates,DT,O
control,JJ,O
act,NNS,O
1947,NN,O
the,CC,O
annual,JJ,B-LEGAL
rent,NN,I-LEGAL
thereof,NNS,O
shall,VBP,O
not,JJ,O
exceed,CD,O
the,DT,O
annual,JJ,O
amount,NN,O
of,NN,O
the,MD,O
standard,RB,B-LEGAL
rent,VB,I-LEGAL
so,DT,O
fixed,JJ,O
aa,NN,O
in,IN,O
respect,DT,O
of,JJ,O
any,NN,O
building,RB,O
or,JJ,O
land,NN,O
or,IN,O
premises,NN,O
the,IN,O
standard,DT,B-LEGAL
rent,NN,I-LEGAL
of,CC,O
which,NN,O
is,CC,O
not,VBZ,O
fixed,DT,O
under,JJ,O
section,NN,O
11,IN,O
of,WDT,O
the,VBZ,O
bombay,RB,O
rent,VBN,O
hotel,IN,O
and,NN,O
lodging,CD,O
house,IN,O
rates,DT,O
control,JJ,O
act,NN,O
1947,NN,O
the,CC,O
annual,JJ,B-LEGAL
rent,NN,I-LEGAL
received,NNS,O
by,VBP,O
the,JJ,O
owner,CD,O
in,DT,O
respect,JJ,O
of,NN,O
such,VBN,O
building,IN,O
or,DT,O
land,NN,O
or,IN,O
premises,NN,O
shall,IN,O
notwithstanding,JJ,O
anything,NN,O
contained,CC,O
in,NN,O
any,CC,O
other,VBZ,O
law,MD,O
for,VBG,O
the,NN,O
time,VBN,O
being,IN,O
in,DT,O
force,JJ,O
be,NN,O
deemed,IN,O
to,DT,O
be,NN,O
the,VBG,O
annual,IN,B-LEGAL
rent,NN,I-LEGAL
for,VB,O
which,VBN,O
such,TO,O
building,VB,O
or,DT,O
land,JJ,O
or,NN,O
premises,IN,O
might,WDT,O
reasonably,JJ,O
be,NN,O
expected,CC,O
to,NN,O
let,CC,O
from,NNS,O
year,MD,O
to,RB,O
year,VB,O
with,VBN,O
reference,TO,O
to,VB,O
its,IN,O
use,NN,O
22,TO,O
dealing,NN,O
with,IN,O
the,NN,O
points,TO,O
in,PRP$,O
controversy,NN,O
the,CD,O
arguments,VBG,O
urged,IN,O
and,DT,O
the,NNS,O
issues,IN,O
involved,NN,O
the,DT,O
court,NNS,O
held,VBD,O
it,CC,O
is,DT,O
true,NNS,O
that,VBD,O
the,DT,O
bombay,NN,O
rent,VBD,O
act,PRP,O
defines,VBZ,O
what,JJ,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
is,JJ,O
provides,NN,O
for,NN,O
fixation,VBZ,O
of,WP,O
standard,JJ,B-LEGAL
rent,NN,I-LEGAL
by,VBZ,O
the,VBZ,O
court,IN,O
and,NN,O
further,IN,O
provides,JJ,O
that,NN,O
no,IN,O
landlord,DT,O
shall,NN,O
claim,CC,O
or,RB,O
receive,VBZ,O
any,IN,O
amount,DT,O
over,NN,O
and,MD,O
above,VB,O
the,CC,O
standard,VB,B-LEGAL
rent,DT,I-LEGAL
making,NN,O
the,IN,O
same,CC,O
punishable,IN,O
with,DT,O
imprisonment,JJ,O
and,NN,O
fine,VBG,O
yet,DT,O
the,JJ,O
fact,JJ,O
remains,IN,O
that,NN,O
municipal,CC,O
corporations,JJ,O
act,RB,O
says,DT,O
expressly,NN,O
that,VBZ,O
notwithstanding,IN,O
anything,JJ,O
contained,NNS,O
in,VBP,O
any,VBZ,O
other,RB,O
law,IN,O
for,VBG,O
the,NN,O
time,VBN,O
being,IN,O
in,DT,O
force,JJ,O
the,NN,O
annual,IN,B-LEGAL
rent,DT,I-LEGAL
received,NN,O
which,VBG,O
means,IN,O
the,NN,O
actual,DT,O
rent,JJ,O
received,NN,O
in,VBD,O
respect,WDT,O
of,VBZ,O
building,DT,O
etc,JJ,O
for,NN,O
which,VBN,O
standard,IN,B-LEGAL
rent,NN,I-LEGAL
is,IN,O
not,NN,O
fixed,NN,O
under,IN,O
section,WDT,O
11of,JJ,O
the,NN,O
bombay,VBZ,O
rent,RB,O
act,VBN,O
shall,IN,O
be,NN,O
deemed,CD,O
to,DT,O
be,NN,O
the,NN,O
annual,NN,B-LEGAL
rent,MD,I-LEGAL
for,VB,O
which,VBN,O
such,TO,O
building,VB,O
etc,DT,O
for,JJ,O
which,NN,O
such,IN,O
building,WDT,O
etc,JJ,O
might,NN,O
reasonably,NN,O
be,IN,O
expected,WDT,O
to,JJ,O
be,NN,O
let,NN,O
from,MD,O
year,RB,O
to,VB,O
year,VBN,O
with,TO,O
reference,VB,O
to,VBN,O
its,IN,O
use,NN,O
the,TO,O
validity,NN,O
of,IN,O
proviso,NN,O
aa,TO,O
though,PRP$,O
raised,NN,O
in,DT,O
the,NN,O
grounds,IN,O
of,NN,O
appeal,NN,O
in,IN,O
the,VBN,O
special,IN,O
leave,DT,O
petition,NNS,O
has,IN,O
not,NN,O
been,IN,O
urged,DT,O
before,JJ,O
us,JJ,O
probably,NN,O
advisedly,VBZ,O
being,RB,O
a,VBN,O
taxing,VBN,O
enactment,IN,O
and,PRP,O
also,RB,O
because,RB,O
the,VBG,O
proviso,DT,O
does,NN,O
no,NN,O
more,CC,O
than,RB,O
to,IN,O
treat,DT,O
the,NN,O
actual,VBZ,O
rent,DT,O
received,JJR,O
as,IN,O
the,TO,O
annual,VB,B-LEGAL
rent,DT,I-LEGAL
the,JJ,O
reasonableness,NN,O
of,VBD,O
the,IN,O
said,DT,O
provision,JJ,O
can,NN,O
hardly,DT,O
be,NN,O
questioned,IN,O
be,DT,O
that,VBD,O
as,NN,O
it,MD,O
may,RB,O
we,VB,O
see,VBN,O
no,VB,O
reason,IN,O
why,IN,O
the,PRP,O
express,MD,O
language,PRP,O
and,VB,O
command,DT,O
of,NN,O
proviso,WRB,O
aa,DT,O
is,NN,O
not,NN,O
respected,CC,O
both,NN,O
the,IN,O
enactments,NN,O
viz,NN,O
bombay,VBZ,O
rent,RB,O
act,VBN,O
and,PDT,O
bombay,DT,O
provincial,NNS,O
municipal,VBP,O
corporations,JJ,O
act,NN,O
are,NN,O
state,CC,O
enactments,JJ,O
indeed,JJ,O
the,JJ,O
municipal,NNS,O
corporations,NN,O
act,VBP,O
is,NN,O
a,NNS,O
later,RB,O
enactment,DT,O
in,JJ,O
view,NNS,O
of,NN,O
the,VBZ,O
express,DT,O
provision,JJ,O
in,NN,O
proviso,IN,O
aa,NN,O
it,IN,O
must,DT,O
be,JJ,O
held,NN,O
that,IN,O
for,NN,O
the,NN,O
purpose,PRP,O
of,MD,O
the,VB,O
municipal,VBN,B-LEGAL
corporation,IN,I-LEGAL
act,IN,O
the,DT,O
actual,NN,O
rent,IN,O
received,DT,O
is,JJ,O
the,NN,O
annual,IN,B-LEGAL
rent,DT,I-LEGAL
for,JJ,O
the,NN,O
purposes,VBN,O
of,VBZ,O
determining,DT,O
the,JJ,O
annual,NN,B-LEGAL
letting,IN,I-LEGAL
value,DT,I-LEGAL
the,NNS,O
counsel,IN,O
for,VBG,O
the,DT,O
appellants,JJ,O
say,NN,O
that,NN,O
it,DT,O
cannot,NN,O
be,IN,O
they,DT,O
say,NNS,O
that,VBP,O
one,IN,O
state,PRP,O
enactment,MD,O
cannot,RB,O
be,VB,O
read,PRP,O
so,VBP,O
as,IN,O
to,CD,O
defeat,NN,O
and,NN,O
nullify,MD,O
the,RB,O
provisions,VB,O
of,VBN,O
another,RB,O
state,IN,O
enactment,TO,O
the,VB,O
submission,CC,O
is,VB,O
that,DT,O
both,NNS,O
must,IN,O
be,DT,O
read,NN,O
harmoniously,VBD,O
the,DT,O
said,NN,O
argument,VBZ,O
in,IN,O
our,DT,O
opinion,MD,O
would,VB,O
have,VBN,O
been,RB,O
perfectly,DT,O
justified,VBD,O
if,NN,O
the,IN,O
non,PRP$,O
obstante,NN,O
clause,MD,O
were,VB,O
not,VBN,O
there,RB,O
in,VBN,O
proviso,IN,O
aa,DT,O
in,NN,O
its,NN,O
presence,NN,O
acceptance,VBD,O
of,RB,O
the,RB,O
said,IN,O
argument,NN,O
means,NN,O
that,IN,O
we,PRP$,O
ignore,NN,O
the,NN,O
non,IN,O
obstante,DT,O
clause,VBD,O
in,NN,O
proviso,VBZ,O
aa,IN,O
altogether,PRP,O
such,VBP,O
a,DT,O
course,NN,O
is,NN,O
not,NN,O
permissible,IN,O
to,NN,O
us,NN,O
the,RB,O
court,JJ,O
cannot,DT,O
treat,NN,O
any,VBZ,O
provision,RB,O
in,JJ,O
an,TO,O
enactment,PRP,O
as,DT,O
superfluous,NN,O
much,MD,O
less,RB,O
can,VB,O
it,DT,O
ignore,NN,O
its,IN,O
existence,DT,O
the,NN,O
learned,IN,O
counsel,JJ,O
however,RB,O
rely,JJR,O
upon,MD,O
certain,PRP,O
decision,VB,O
in,PRP$,O
support,NN,O
of,DT,O
their,JJ,O
submissions,NN,O
to,RB,O
which,RB,O
a,IN,O
brief,JJ,O
reference,NN,O
would,IN,O
now,NN,O
be,IN,O
in,PRP$,O
order,NNS,O
accordingly,TO,O
we,WDT,O
hold,DT,O
that,NN,O
proviso,NN,O
aa,MD,O
means,RB,O
what,VB,O
it,IN,O
says,NN,O
and,RB,O
has,PRP,O
to,VBP,O
be,IN,O
applied,JJ,O
and,NN,O
followed,VBZ,O
in,WP,O
the,PRP,O
cases,VBZ,O
covered,CC,O
by,VBZ,O
it,TO,O
so,VB,O
far,VBN,O
as,CC,O
the,VBN,O
municipal,IN,O
corporations,DT,O
act,NNS,O
is,VBN,O
concerned,IN,O
the,PRP,O
annual,RB,B-LEGAL
rent,RB,I-LEGAL
is,IN,O
the,DT,O
actual,JJ,O
rent,NNS,O
received,NN,O
where,VBZ,O
the,VBN,O
standard,DT,B-LEGAL
rent,JJ,I-LEGAL
is,NN,O
not,VBZ,O
fixed,DT,O
under,JJ,O
section,NN,O
11,VBD,O
of,WRB,O
the,DT,O
bombay,JJ,O
rent,NN,O
act,VBZ,O
and,RB,O
it,VBN,O
constitutes,IN,O
the,NN,O
basis,CD,O
for,IN,O
determining,DT,O
the,JJ,O
annual,NN,B-LEGAL
letting,NN,I-LEGAL
value,CC,I-LEGAL
rate,PRP,O
able,VBZ,O
value,DT,O
and,NN,O
property,IN,O
taxes,VBG,O
that,DT,O
is,JJ,O
the,VBG,O
plain,NN,O
effect,NN,O
and,JJ,O
meaning,NN,O
of,CC,O
proviso,NN,O
aa,NNS,O
so,WDT,O
far,VBZ,O
proviso,DT,O
aaa,NN,O
is,NN,O
concerned,CC,O
an,NN,O
apprehension,IN,O
was,NN,O
expressed,NNS,O
that,RB,O
it,RB,O
would,JJ,O
enable,NN,O
the,VBZ,O
commissioner,VBN,O
to,DT,O
question,NN,O
the,VBD,O
actual,VBN,O
rent,IN,O
received,PRP,O
in,MD,O
every,VB,O
case,DT,O
and,NN,O
it,TO,O
would,VB,O
bean,DT,O
endless,JJ,O
enquiry,NN,O
in,VBN,O
our,IN,O
opinion,DT,O
however,NN,O
the,CC,O
said,PRP,O
provision,MD,O
is,VB,O
conceived,JJ,O
to,NN,O
meet,IN,O
situations,PRP$,O
where,NN,O
the,RB,O
rent,DT,O
pub,VBD,O
forward,NN,O
as,VBZ,O
the,VBN,O
actual,TO,O
rent,VB,O
received,NNS,O
is,WRB,O
not,DT,O
a,NN,O
genuine,RB,O
plea,RB,O
ie,IN,O
where,DT,O
it,JJ,O
is,NN,O
a,VBD,O
false,VBZ,O
plea,RB,O
a,DT,O
landlord,JJ,O
may,NN,O
let,NN,O
out,WRB,O
a,PRP,O
building,VBZ,O
at,DT,O
less,JJ,O
than,NN,O
market,DT,O
rent,NN,O
for,MD,O
many,VB,O
a,RP,O
reason,DT,O
eg,NN,O
the,IN,O
tenant,JJR,O
is,IN,O
a,NN,O
close,NN,O
friend,IN,O
or,JJ,O
a,DT,O
close,NN,O
relative,IN,O
or,DT,O
because,NN,O
the,VBZ,O
tenant,DT,O
is,JJ,O
a,NN,O
charitable,CC,O
or,DT,O
religious,JJ,O
organisation,NN,O
proviso,CC,O
aaa,IN,O
does,DT,O
not,NN,O
enable,VBZ,O
the,DT,O
commissioner,JJ,O
to,CC,O
ignore,JJ,O
such,NN,O
situations,NN,O
for,NN,O
in,VBZ,O
such,RB,O
cases,VB,O
the,DT,O
rent,NN,O
actually,TO,O
received,VB,O
is,JJ,O
genuinely,NNS,O
stipulated,IN,O
one,IN,O
this,JJ,O
power,NNS,O
is,DT,O
reserved,NN,O
to,RB,O
the,VBN,O
commissioner,VBZ,O
only,RB,O
with,JJ,O
a,CD,O
view,DT,O
to,NN,O
ensure,VBZ,O
that,VBN,O
by,TO,O
merely,DT,O
putting,NN,O
forward,RB,O
a,IN,O
figure,DT,O
which,NN,O
is,TO,O
not,VB,O
true,IN,O
persons,IN,O
do,RB,O
not,VBG,O
escape,RB,O
the,DT,O
correct,NN,O
levy,WDT,O
23,VBZ,O
in,RB,O
east,JJ,O
india,NNS,O
commercial,VBP,O
co,RB,O
pvt,VB,O
ltd,DT,O
s,JJ,O
case,NN,O
suprathis,CD,O
court,IN,O
considered,JJ,O
the,JJ,O
determination,JJ,O
of,NN,O
annual,NN,B-LEGAL
value,NN,I-LEGAL
under,NN,O
section,NN,O
168,JJ,O
of,NN,O
the,VBD,O
calcutta,DT,O
municipal,NN,B-LEGAL
corporation,IN,I-LEGAL
act,JJ,O
1951,NN,O
in,IN,O
respect,NN,O
of,CD,O
buildings,IN,O
which,DT,O
were,NN,O
actually,JJ,O
let,NN,O
out,NN,O
to,CD,O
tenants,IN,O
on,NN,O
rent,IN,O
agreed,NNS,O
but,WDT,O
not,VBD,O
fixed,RB,O
by,VBN,O
the,RP,O
controller,TO,O
under,NNS,O
the,IN,O
rent,NN,O
restriction,VBN,O
act,CC,O
for,RB,O
the,VBN,O
purposes,IN,O
of,DT,O
assessment,NN,B-LEGAL
of,IN,O
property,DT,B-LEGAL
tax,NN,I-LEGAL
after,NN,O
referring,NN,O
to,IN,O
the,DT,O
relevant,NNS,O
provisions,IN,O
of,NN,O
law,IN,O
and,NN,O
the,NN,O
judgments,IN,O
of,VBG,O
this,TO,O
court,DT,O
it,JJ,O
was,NNS,O
held,IN,O
from,NN,O
the,CC,O
aforesaid,DT,O
decisions,NNS,O
the,IN,O
principle,DT,O
which,NN,O
is,PRP,O
deducible,VBD,O
is,VBN,O
that,IN,O
when,DT,O
the,NN,O
municipal,NNS,B-LEGAL
act,DT,I-LEGAL
requires,NN,O
the,WDT,O
determination,VBZ,O
of,JJ,O
the,VBZ,O
annual,IN,B-LEGAL
value,WRB,I-LEGAL
that,DT,O
act,JJ,O
has,NN,O
to,VBZ,O
be,DT,O
read,NN,O
along,IN,O
with,DT,O
rent,JJ,O
restriction,NN,O
act,WDT,O
which,NN,O
provides,VBZ,O
for,TO,O
the,VB,O
determination,VBN,O
of,IN,O
fair,IN,O
rent,JJ,O
or,NN,O
standard,NN,B-LEGAL
rent,WDT,I-LEGAL
reading,VBZ,O
the,IN,O
two,DT,O
acts,NN,O
together,IN,O
the,JJ,O
rate,NN,O
able,CC,O
value,JJ,O
cannot,NN,O
be,VBG,O
more,DT,O
than,CD,O
the,NNS,O
fair,RB,O
or,DT,O
standard,NN,B-LEGAL
rent,JJ,I-LEGAL
which,NN,O
can,MD,O
be,RB,O
fixed,VB,O
under,JJR,O
the,IN,O
rent,DT,O
control,JJ,O
act,CC,O
the,JJ,O
exception,NN,O
to,WDT,O
this,MD,O
rule,VB,O
is,VBN,O
that,IN,O
whenever,DT,O
any,NN,O
municipal,NN,B-LEGAL
act,VBP,I-LEGAL
itself,DT,O
provides,NN,O
the,TO,O
modes,DT,O
of,NN,O
determination,VBZ,O
of,IN,O
the,WRB,O
annual,DT,B-LEGAL
letting,JJ,I-LEGAL
value,NN,I-LEGAL
like,PRP,O
the,VBZ,O
central,DT,O
bank,NNS,O
of,IN,O
india,NN,O
case,IN,O
manu,DT,O
sc,JJ,O
0742,VBG,O
1995manu,NN,O
sc,IN,O
0742,DT,O
1995,JJ,O
19954scc696,NN,O
19954scc696,IN,O
relating,JJ,O
to,NN,O
ahmedabad,NN,O
or,NN,O
contains,CD,O
a,CD,O
non,NN,O
obstante,CD,O
clause,CD,O
as,CD,O
in,CD,O
ratnaprabha,NN,O
case,TO,O
manu,VB,O
sc,CC,O
0339,VBZ,O
1976manu,DT,O
sc,JJ,O
0339,NN,O
1976,NN,O
1977,IN,O
1scr1017,IN,O
1977,NN,O
1scr1017,NN,O
then,NN,O
the,NN,O
determination,CD,O
of,CD,O
the,NN,O
annual,CD,B-LEGAL
letting,CD,I-LEGAL
value,CD,I-LEGAL
has,CD,O
to,CD,O
be,CD,O
according,RB,O
to,DT,O
the,NN,O
terms,IN,O
of,DT,O
the,JJ,O
municipal,NN,B-LEGAL
act,NN,I-LEGAL
in,VBZ,O
the,TO,O
present,VB,O
case,VBG,O
section,TO,O
168,DT,O
of,NNS,O
the,IN,O
municipal,DT,B-LEGAL
act,JJ,I-LEGAL
does,NN,O
not,IN,O
contain,DT,O
any,JJ,O
non,NN,O
obstante,NN,O
clause,CD,O
so,IN,O
as,DT,O
to,JJ,O
make,NN,O
the,VBZ,O
tenancy,RB,O
act,VB,O
inapplicable,DT,O
and,JJ,O
nor,NN,O
does,NN,O
the,RB,O
act,IN,O
itself,TO,O
provide,VB,O
the,DT,O
method,NN,O
of,NN,O
basis,JJ,O
for,CC,O
determining,CC,O
the,VBZ,O
annual,DT,B-LEGAL
value,NN,I-LEGAL
this,PRP,O
act,VBP,O
has,DT,O
therefore,NN,O
to,IN,O
be,NN,O
read,IN,O
along,VBG,O
with,DT,O
tenancy,JJ,O
act,NN,O
of,DT,O
1956,NN,O
and,VBZ,O
it,VBN,O
is,TO,O
the,VB,O
fair,VBN,O
rent,IN,O
determinable,IN,O
under,NN,O
section,NN,O
81d,IN,O
which,CD,O
alone,CC,O
can,PRP,O
be,VBZ,O
the,DT,O
annual,JJ,B-LEGAL
value,NN,I-LEGAL
for,JJ,O
the,IN,O
purposes,NN,O
of,CD,O
property,WDT,B-LEGAL
tax,RB,I-LEGAL
24,MD,O
dealing,VB,O
with,DT,O
the,JJ,O
mp,NN,O
municipal,IN,B-LEGAL
corporation,DT,I-LEGAL
act,NNS,O
1956,IN,O
the,NN,O
court,NN,O
held,CD,O
that,VBG,O
the,IN,O
existence,DT,O
of,NN,O
n,JJ,O
on,NN,O
obstante,NN,O
clause,CD,O
was,DT,O
crucial,NN,O
in,VBD,O
determining,IN,O
the,DT,O
annual,NN,B-LEGAL
value,IN,I-LEGAL
the,NN,O
court,IN,O
observed,NN,O
in,NN,O
section,VBD,O
168,JJ,O
of,IN,O
the,VBG,O
municipal,DT,B-LEGAL
act,JJ,I-LEGAL
with,NN,O
which,DT,O
were,NN,O
concerned,VBD,O
in,IN,O
the,NN,O
present,CD,O
case,IN,O
the,DT,O
non,JJ,O
obstante,NN,O
clause,IN,O
is,WDT,O
not,VBD,O
there,VBN,O
the,IN,O
municipal,DT,B-LEGAL
act,JJ,I-LEGAL
is,NN,O
different,DT,O
from,NN,O
the,NN,O
mp,NN,O
municipal,VBZ,B-LEGAL
act,RB,I-LEGAL
1956,EX,O
section,DT,O
163,JJ,O
of,NN,O
the,VBZ,O
municipal,JJ,B-LEGAL
act,IN,I-LEGAL
is,DT,O
similar,NN,O
to,JJ,O
the,NN,O
corresponding,CD,O
provisions,NN,O
in,CD,O
delhi,IN,O
and,DT,O
in,JJ,O
andhra,NN,O
pradesh,VBZ,O
and,JJ,O
therefore,TO,O
it,DT,O
is,JJ,O
the,NNS,O
ratio,IN,O
of,NN,O
the,CC,O
decisions,IN,O
of,JJ,O
padma,NN,O
debi,CC,O
manu,VB,O
sc,PRP,O
0284,VBZ,O
1961manu,DT,O
sc,NN,O
0284,IN,O
1961,DT,O
1962,NNS,O
3scr49,IN,O
1962,NN,O
3scr49,NN,O
dewan,NN,O
daulat,NN,O
raj,CD,O
1980,CD,O
scc,NN,O
685,CD,O
and,CD,O
guntur,CD,O
municipal,CD,O
council,CD,O
manu,CD,O
sc,NN,O
0394,NN,O
1970manu,NN,O
sc,CD,O
0394,NN,O
1970,CD,O
1971,CC,O
2scr423,VB,O
1971,JJ,O
2scr423,NN,O
which,NN,O
should,NN,O
apply,CD,O
25,CD,O
in,NN,O
government,CD,O
servant,CD,O
cooperative,CD,O
s,CD,O
case,CD,O
supra,CD,O
this,WDT,O
court,MD,O
dealt,VB,O
with,CD,O
section,IN,O
116,NN,O
of,JJ,O
the,JJ,O
delhi,NN,O
municipal,NN,B-LEGAL
corporation,VB,I-LEGAL
act,DT,O
providing,NN,O
for,NN,O
determination,IN,O
of,NN,O
rate,CD,O
able,IN,O
value,DT,B-LEGAL
of,NN,I-LEGAL
land,JJ,I-LEGAL
or,NN,O
building,NN,O
assessable,VBG,O
to,IN,O
property,NN,O
taxes,IN,O
and,NN,O
held,JJ,O
that,NN,O
where,IN,O
there,NN,O
is,CC,O
a,NN,O
legislation,JJ,O
fixing,TO,O
the,NN,O
standard,NNS,B-LEGAL
rent,CC,I-LEGAL
of,VBD,O
the,IN,O
premises,WRB,O
the,EX,O
rent,VBZ,O
at,DT,O
which,NN,O
premises,VBG,O
could,DT,O
be,JJ,O
reasonable,NN,O
expected,IN,O
to,DT,O
be,NNS,O
let,DT,O
cannot,NN,O
exceed,IN,O
the,WDT,O
statutory,NNS,O
ceiling,MD,O
but,VB,O
where,JJ,O
there,VBN,O
is,TO,O
no,VB,O
statutory,VBN,O
control,MD,O
on,RB,O
rent,VB,O
which,DT,O
is,JJ,O
charged,NN,O
the,CC,O
annual,WRB,B-LEGAL
rent,EX,I-LEGAL
actually,VBZ,O
received,DT,O
by,JJ,O
the,NN,O
landlord,IN,O
shall,NN,O
be,WDT,O
the,VBZ,O
basis,VBN,O
for,DT,O
determining,JJ,O
the,NN,O
rate,RB,O
able,VBN,O
value,IN,O
of,DT,O
the,NN,O
property,MD,O
it,VB,O
held,DT,O
therefore,NN,O
the,IN,O
annual,VBG,B-LEGAL
rent,DT,I-LEGAL
actually,NN,O
received,JJ,O
by,NN,O
the,IN,O
landlord,DT,O
in,NN,O
the,PRP,O
absence,VBD,O
of,RB,O
any,DT,O
special,JJ,O
circumstances,NN,O
would,RB,O
be,VBN,O
a,IN,O
good,DT,O
guide,NN,O
to,IN,O
decide,DT,O
the,NN,O
rent,IN,O
which,DT,O
the,JJ,O
landlord,NNS,O
might,MD,O
reasonably,VB,O
expect,DT,O
to,JJ,O
receive,NN,O
from,TO,O
a,VB,O
hypothetical,DT,B-LEGAL
tenant,NN,I-LEGAL
since,WDT,O
the,DT,O
premises,NN,O
in,MD,O
the,RB,O
present,VB,O
case,TO,O
are,VB,O
not,IN,O
controlled,DT,O
by,JJ,O
any,NN,O
rent,IN,O
control,DT,O
legislation,NNS,O
the,IN,O
annual,DT,B-LEGAL
rent,JJ,I-LEGAL
received,NN,O
by,VBP,O
the,RB,O
landlord,VBN,O
is,IN,O
what,DT,O
a,NN,O
willing,NN,O
lessee,NN,O
uninfluenced,DT,O
by,JJ,O
other,NN,O
circumstances,VBN,O
would,IN,O
pay,DT,O
to,NN,O
a,VBZ,O
willing,WP,O
lessor,DT,O
hence,JJ,O
actual,NN,O
annual,VBN,B-LEGAL
rent,IN,I-LEGAL
in,JJ,O
these,NNS,O
circumstances,MD,O
can,VB,O
be,TO,O
taken,DT,O
as,JJ,O
the,NN,O
annual,NN,O
rate,JJ,O
able,JJ,O
value,NN,O
of,IN,O
the,DT,O
property,NNS,O
for,MD,O
the,VB,O
assessment,VBN,B-LEGAL
of,IN,O
property,DT,B-LEGAL
tax,JJ,I-LEGAL
the,NN,O
municipal,JJ,B-LEGAL
corporation,NN,I-LEGAL
is,IN,O
therefore,DT,O
entitled,NN,O
to,IN,O
revise,DT,O
the,NN,O
rate,IN,O
able,NN,O
value,NN,O
of,DT,O
the,JJ,O
proprieties,NN,O
which,VBZ,O
have,RB,O
been,VBN,O
freed,TO,O
from,VB,O
rent,DT,O
control,NN,O
on,JJ,O
the,NN,O
basis,IN,O
of,DT,O
annual,NNS,B-LEGAL
rent,WDT,I-LEGAL
actually,VBP,O
received,VBN,O
unless,VBN,O
the,IN,O
owner,NN,O
satisfies,NN,O
the,IN,O
municipal,DT,B-LEGAL
corporation,NN,I-LEGAL
that,IN,O
there,JJ,O
are,NN,O
other,RB,O
considerations,VBD,O
which,IN,O
have,DT,O
affected,NN,O
the,VBZ,O
quantum,DT,O
of,JJ,O
rent,NN,O
26,IN,O
a,EX,O
perusal,VBP,O
of,JJ,O
various,NNS,O
judgments,WDT,O
relied,VBP,O
upon,VBN,O
by,DT,O
the,NN,O
learned,IN,O
counsel,NN,O
for,CD,O
the,DT,O
parties,NN,O
clearly,IN,O
shows,JJ,O
that,NNS,O
this,VBN,O
court,IN,O
has,IN,O
taken,DT,O
a,JJ,O
consistent,NN,O
view,IN,O
regarding,DT,O
the,NNS,O
determination,RB,O
of,VBZ,O
annual,IN,B-LEGAL
value,DT,I-LEGAL
of,NN,O
land,VBZ,O
or,VBN,O
building,DT,O
of,JJ,O
the,NN,O
purposes,VBG,O
of,DT,O
determination,NN,O
of,IN,O
taxes,JJ,O
under,NN,O
the,IN,O
municipal,NN,O
acts,CC,O
on,NN,O
the,IN,O
basis,DT,O
of,NNS,O
various,IN,O
statues,NN,O
relating,IN,O
to,NNS,O
the,IN,O
determination,DT,O
of,JJ,O
the,NNS,O
annual,IN,B-LEGAL
value,DT,I-LEGAL
for,NN,O
the,IN,O
purposes,JJ,O
of,NNS,O
municipal,VBG,B-LEGAL
