ruma,NN,O
supplied,WRB,O
by,JJ,O
primary,NNS,O
industries,VBN,O
are,IN,O
processed,JJ,O
to,NNS,O
manufacture,VBP,O
consumer,VBN,O
and,TO,O
non,VB,O
consumer,NN,O
goods,CC,O
a,JJ,O
tertiary,NN,O
industry,NNS,O
would,DT,O
be,JJ,O
one,NN,O
where,MD,O
services,VB,O
were,CD,O
rendered,WRB,O
such,NNS,O
as,VBD,O
banking,VBN,O
insurance,JJ,O
transportation,IN,O
information,NN,O
etc,NN,O
this,NN,O
was,NN,O
contrasted,FW,O
with,DT,O
the,VBD,O
meaning,VBN,O
of,IN,O
the,DT,O
word,NN,O
as,IN,O
defined,DT,O
in,NN,O
the,IN,O
industries,VBN,O
development,IN,O
and,DT,O
regulation,NNS,B-LEGAL
act,NN,O
1951,CC,O
which,NN,O
only,NN,O
deals,CD,O
with,WDT,O
manufacturing,JJ,O
industries,NNS,O
according,IN,O
to,NN,O
the,NNS,O
appellants,VBG,O
this,TO,O
court,DT,O
in,NNS,O
harakchand,DT,O
ratanchand,NN,O
banthia,IN,O
and,NN,O
ors,NN,O
v,NN,O
union,CC,O
of,NNS,O
india,VBP,O
manu,NN,O
sc,IN,O
0038,JJ,O
1969manu,NN,O
sc,NN,O
0038,CD,O
1969,CD,O
1970,NN,O
1scr479,CD,O
not,CD,O
only,CD,O
accepted,CD,O
the,RB,O
wide,RB,O
definition,VBD,B-LEGAL
of,DT,O
industries,JJ,O
but,NN,O
also,IN,O
specifically,NNS,O
held,CC,O
that,RB,O
the,RB,O
word,VBD,O
industry,IN,O
in,DT,O
entry,NN,O
52,NN,O
would,IN,O
also,NN,O
comprise,CD,O
production,MD,O
supply,RB,O
and,VB,O
distribution,NN,O
of,NN,O
goods,CC,O
referred,NN,O
to,IN,O
in,NNS,O
entry,VBN,O
27,TO,O
of,IN,O
list,NN,O
ii,CD,O
it,IN,O
was,NN,O
therefore,NN,O
contended,PRP,O
that,VBD,O
the,RB,O
provisions,VBN,O
of,IN,O
the,DT,O
tobacco,NNS,O
act,IN,O
were,DT,O
clearly,NN,O
within,NN,O
the,VBD,O
exclusive,RB,O
competence,IN,O
of,DT,O
parliament,JJ,B-LEGAL
and,NN,O
within,IN,O
the,NN,O
field,CC,O
covered,IN,O
in,DT,O
entry,NN,O
52,VBD,O
of,IN,O
list,NN,O
i,CD,O
as,IN,O
a,NN,O
corollary,NN,O
to,IN,O
this,DT,O
argument,NN,O
it,TO,O
was,DT,O
contended,NN,O
that,PRP,O
parliament,VBD,B-LEGAL
could,VBN,O
also,IN,O
legislate,NN,O
with,MD,O
regard,RB,O
to,VB,O
the,IN,O
raw,NN,O
materials,TO,O
supplied,DT,O
to,JJ,O
a,NNS,O
declared,VBD,O
industry,TO,O
in,DT,O
keeping,JJ,O
with,NN,O
the,IN,O
principle,VBG,O
of,IN,O
pith,DT,O
and,NN,O
substance,IN,O
the,NN,O
next,CC,O
submission,NN,O
was,DT,O
that,JJ,O
even,NN,O
if,VBD,O
the,IN,O
state,RB,O
government,IN,O
retained,DT,O
the,NN,O
competence,NN,O
to,VBD,O
legislate,DT,O
on,NN,O
tobacco,TO,O
it,VB,O
could,IN,O
not,NN,O
enact,PRP,O
any,MD,O
statutory,RB,O
provisions,VB,O
which,DT,O
would,JJ,O
be,NNS,O
repugnant,WDT,O
to,MD,O
the,VB,O
central,JJ,O
act,TO,O
the,DT,O
provisions,JJ,O
of,NN,O
the,DT,O
tobacco,NNS,O
act,IN,O
and,DT,O
the,NN,O
markets,NN,O
act,CC,O
were,DT,O
referred,NNS,O
to,VBP,O
in,VBD,O
some,VBN,O
detail,TO,O
to,IN,O
contend,DT,O
that,NN,O
they,TO,O
could,VB,O
not,IN,O
possibly,PRP,O
co,MD,O
exist,RB,O
and,RB,O
therefore,VB,O
the,NN,O
central,CC,O
act,RB,O
would,DT,O
have,JJ,O
to,NN,O
prevail,MD,O
it,VB,O
was,TO,O
submitted,VB,O
that,PRP,O
in,VBD,O
the,VBN,O
circumstances,IN,O
the,IN,O
provisions,DT,O
of,NNS,O
the,DT,O
markets,NNS,O
act,IN,O
with,DT,O
respect,NNS,O
to,VBP,O
tobacco,IN,O
were,NN,O
repugnant,TO,O
to,VB,O
the,VBD,O
provisions,JJ,O
of,TO,O
the,DT,O
tobacco,NNS,O
act,IN,O
an,DT,O
that,NN,O
by,NN,O
virtue,DT,O
of,WDT,O
the,IN,O
provisions,NN,O
of,IN,O
article,DT,O
2541,NNS,O
of,IN,O
the,NN,O
constitution,CD,O
the,IN,O
law,DT,B-LEGAL
made,NN,I-LEGAL
by,DT,I-LEGAL
parliament,NN,I-LEGAL
was,VBN,O
to,IN,O
prevail,NN,O
and,VBD,O
the,TO,O
law,VB,O
made,CC,O
by,DT,O
the,NN,O
legislatures,VBN,O
of,IN,O
the,DT,O
state,NNS,O
to,IN,O
the,DT,O
extent,NN,O
of,TO,O
the,DT,O
repugnancy,NN,B-LEGAL
with,IN,O
the,DT,O
central,NN,O
act,IN,O
is,DT,O
void,JJ,O
12,NN,O
the,VBZ,O
respondents,JJ,O
on,CD,O
the,DT,O
other,NNS,O
hand,IN,O
contended,DT,O
that,JJ,O
the,NN,O
tobacco,VBD,O
act,IN,O
did,DT,O
not,NN,O
and,NN,O
could,VBD,O
not,RB,O
occupy,CC,O
the,MD,O
entire,RB,O
legislative,VB,O
field,DT,O
relating,JJ,O
to,JJ,O
tobacco,NN,O
according,VBG,O
to,TO,O
them,VB,O
despite,VBG,O
the,TO,O
declaration,PRP,O
in,IN,O
section,DT,O
2,NN,O
of,IN,O
the,NN,O
tobacco,CD,O
act,IN,O
under,DT,O
entry,NN,O
52,NN,O
of,IN,O
list,NN,O
i,CD,O
the,IN,O
word,NN,O
industry,IN,O
in,DT,O
the,NN,O
context,NN,O
of,IN,O
the,DT,O
tobacco,NN,O
act,IN,O
could,DT,O
not,NN,O
include,NN,O
anything,MD,O
more,RB,O
than,VB,O
processing,NN,O
and,JJR,O
manufacturing,IN,O
of,NN,O
tobacco,CC,O
reliance,NN,O
was,IN,O
placed,NN,O
primarily,NN,O
on,VBD,O
the,VBN,O
decision,RB,O
of,IN,O
the,DT,O
constitution,NN,O
bench,IN,O
in,DT,O
tika,NN,O
ramji,NN,O
and,IN,O
ors,JJ,O
v,NN,O
state,CC,O
of,NNS,O
up,VBP,O
and,NN,O
ors,IN,O
manu,RB,O
sc,CC,O
0008,NNS,O
1956manu,VBP,O
sc,JJ,O
0008,CD,O
1956,CD,O
1956,NN,O
1scr393,CD,O
13,CD,O
it,CD,O
was,CD,O
further,CD,O
submitted,PRP,O
on,VBD,O
behalf,RB,O
of,VBN,O
the,IN,O
respondents,NN,O
that,IN,O
the,DT,O
question,NNS,O
of,IN,O
repugnancy,DT,B-LEGAL
between,NN,O
the,IN,O
markets,NN,O
act,IN,O
and,DT,O
the,NNS,O
tobacco,NN,O
act,CC,O
would,DT,O
not,NN,O
arise,NN,O
since,MD,O
parliament,RB,B-LEGAL
was,VB,O
not,IN,O
competent,NN,O
to,VBD,O
enact,RB,O
provisions,JJ,O
in,TO,O
respect,VB,O
of,NNS,O
a,IN,O
legislative,NN,O
field,IN,O
specifically,DT,O
provided,JJ,O
for,NN,O
in,RB,O
list,VBD,O
ii,IN,O
it,IN,O
was,NN,O
submitted,NN,O
that,PRP,O
the,VBD,O
legislative,VBN,O
field,IN,O
under,DT,O
entry,JJ,O
52,NN,O
of,IN,O
list,NN,O
i,CD,O
was,IN,O
derived,NN,O
from,NN,O
entry,VBD,O
24,VBN,O
of,IN,O
list,NN,O
ii,CD,O
and,IN,O
entry,NN,O
24,NN,O
did,CC,O
not,NN,O
cover,CD,O
the,VBD,O
legislative,RB,O
fields,VB,O
otherwise,DT,O
specially,JJ,O
provided,NNS,O
for,RB,O
in,RB,O
list,VBN,O
ii,IN,O
it,IN,O
was,NN,O
stated,NN,O
that,PRP,O
entry,VBD,O
28,VBN,O
could,IN,O
not,NN,O
be,CD,O
rendered,MD,O
redundant,RB,O
by,VB,O
the,VBN,O
central,JJ,O
government,IN,O
s,DT,O
legislation,JJ,B-LEGAL
on,NN,O
commodities,JJ,O
sold,NN,O
at,IN,O
markets,NNS,O
and,VBN,O
fairs,IN,O
by,NNS,O
issuing,CC,O
a,NNS,O
declaration,IN,O
under,VBG,O
entry,DT,O
52,NN,O
of,IN,O
list,NN,O
i,CD,O
it,IN,O
was,NN,O
also,NN,O
submitted,PRP,O
that,VBD,O
there,RB,O
may,VBN,O
be,IN,O
provisions,EX,O
in,MD,O
the,VB,O
tobacco,NNS,O
act,IN,O
which,DT,O
may,NN,O
incidentally,NN,O
trench,WDT,O
on,MD,O
the,RB,O
state,VB,O
s,IN,O
competence,DT,O
and,NN,O
as,NN,O
long,NN,O
as,CC,O
states,RB,O
have,RB,O
not,IN,O
legislated,NNS,O
on,VBP,O
that,RB,O
topic,VBN,O
the,IN,O
tobacco,DT,O
act,VBZ,O
may,DT,O
prevail,NN,O
it,NN,O
was,MD,O
submitted,VB,O
that,PRP,O
even,VBD,O
if,VBN,O
the,IN,O
markets,RB,O
act,IN,O
were,DT,O
enacted,NNS,O
under,VBP,O
entries,VBD,O
26,VBN,O
and,IN,O
27,NNS,O
of,CD,O
list,CC,O
ii,CD,O
nevertheless,IN,O
this,NN,O
would,NN,O
not,RB,O
make,DT,O
the,MD,O
market,RB,O
act,VB,O
invalid,DT,O
as,NN,O
far,NN,O
as,JJ,O
tobacco,RB,O
was,RB,O
concerned,IN,O
it,NN,O
was,VBD,O
further,JJ,O
submitted,PRP,O
that,VBD,O
although,RBR,O
entries,VBD,O
26,IN,O
and,IN,O
27,NNS,O
in,CD,O
the,CC,O
state,CD,B-LEGAL
list,IN,I-LEGAL
were,DT,O
subject,NN,O
to,NN,O
the,VBD,O
provisions,JJ,O
of,TO,O
entry,DT,O
33,NNS,O
of,IN,O
the,NN,O
concurrent,CD,B-LEGAL
list,IN,I-LEGAL
there,DT,O
was,JJ,O
no,NN,O
provision,EX,O
in,VBD,O
entry,DT,O
33,NN,O
of,IN,O
the,NN,O
concurrent,CD,B-LEGAL
list,IN,I-LEGAL
which,DT,O
covered,NN,O
tobacco,NN,O
it,WDT,O
was,VBD,O
submitted,NN,O
that,PRP,O
the,VBD,O
issue,VBN,O
of,IN,O
repugnancy,DT,B-LEGAL
did,NN,O
not,IN,O
arise,NN,O
because,VBD,O
article,RB,O
2541,VB,O
only,IN,O
relates,NN,O
to,CD,O
repugnancy,RB,B-LEGAL
in,VBZ,O
actual,TO,O
legislations,VB,O
in,IN,O
respect,JJ,O
of,NNS,O
entries,IN,O
in,NN,O
the,IN,O
concurrent,NNS,B-LEGAL
list,IN,I-LEGAL
according,DT,O
to,NN,O
the,NN,O
respondents,VBG,O
assuming,TO,O
that,DT,O
parliament,NNS,B-LEGAL
was,VBG,O
competent,IN,O
to,NN,O
legislate,VBD,O
in,JJ,O
respect,TO,O
of,VB,O
tobacco,IN,O
there,NN,O
was,IN,O
in,NN,O
fact,EX,O
no,VBD,O
repugnancy,IN,B-LEGAL
between,NN,O
the,DT,O
markets,NN,O
act,IN,O
and,DT,O
the,NNS,O
tobacco,NN,O
act,CC,O
as,DT,O
the,NN,O
tobacco,NN,O
act,IN,O
did,DT,O
not,NN,O
cover,NN,O
post,VBD,O
auction,RB,O
sales,VB,O
in,NN,O
any,NN,O
event,NNS,O
there,IN,O
could,DT,O
be,NN,O
no,EX,O
conflict,MD,O
between,VB,O
the,DT,O
markets,NN,O
act,IN,O
and,DT,O
the,NNS,O
central,NN,O
act,CC,O
in,DT,O
bihar,JJ,O
particularly,NN,O
having,IN,O
regard,NN,O
to,RB,O
the,VBG,O
fact,NN,O
that,TO,O
section,DT,O
13,NN,O
13a,IN,O
and,NN,O
14a,CD,O
of,CD,O
the,CC,O
tobacco,CD,O
act,IN,O
had,DT,O
not,NN,O
been,NN,O
made,VBD,O
operative,RB,O
in,VBN,O
bihar,VBN,O
reliance,JJ,O
has,IN,O
been,NN,O
placed,NN,O
upon,VBZ,O
the,VBN,O
absence,VBN,O
of,IN,O
a,DT,O
non,NN,O
obstante,IN,O
clause,DT,O
in,JJ,O
the,NN,O
tobacco,NN,O
act,IN,O
and,DT,O
the,NN,O
presence,NN,O
of,CC,O
section,DT,O
31,NN,O
in,IN,O
that,NN,O
act,CD,O
which,IN,O
according,DT,O
to,NN,O
the,WDT,O
respondents,VBG,O
makes,TO,O
it,DT,O
clear,NNS,O
that,VBZ,O
the,PRP,O
tobacco,JJ,O
act,IN,O
was,DT,O
to,NN,O
be,NN,O
read,VBD,O
as,TO,O
being,VB,O
in,VBN,O
addition,IN,O
to,VBG,O
and,IN,O
not,NN,O
in,TO,O
derogation,CC,O
of,RB,O
any,IN,O
other,NN,O
law,IN,O
therefore,DT,O
according,JJ,O
to,NN,O
the,RB,O
respondents,VBG,O
even,TO,O
if,DT,O
tobacco,NNS,O
were,RB,O
solely,IN,O
within,NN,O
the,VBD,O
exclusive,RB,O
field,IN,O
of,DT,O
legislation,JJ,B-LEGAL
by,NN,O
parliament,IN,B-LEGAL
the,NN,O
state,IN,B-LEGAL
legislature,NN,I-LEGAL
could,DT,O
recover,NN,O
fees,NN,O
for,MD,O
services,VB,O
rendered,NNS,O
in,IN,O
respect,NNS,O
of,VBN,O
markets,IN,O
where,NN,O
tobacco,IN,O
may,NNS,O
be,WRB,O
sold,NN,O
14,MD,O
to,VB,O
being,VBN,O
with,CD,O
i,TO,O
do,VBG,O
not,IN,O
think,NNS,O
that,VBP,O
this,RB,O
bench,VB,O
should,IN,O
at,DT,O
all,NN,O
go,MD,O
into,IN,O
the,DT,O
question,VBP,O
of,IN,O
the,DT,O
validity,NN,O
of,IN,O
the,DT,O
tobacco,NN,O
board,IN,O
act,DT,O
1975,NNP,O
referred,NN,O
to,NN,O
briefly,CD,O
hereafter,VBD,O
as,TO,O
the,VB,O
tobacco,NN,O
act,IN,O
even,DT,O
thought,NN,O
he,NN,O
issue,RB,O
was,VBD,O
argued,PRP,O
at,NN,O
some,VBD,O
length,VBN,O
by,IN,O
the,DT,O
main,NN,O
protagonists,IN,O
before,DT,O
us,JJ,O
the,NNS,O
dispute,IN,O
which,PRP,O
originally,DT,O
gave,NN,O
rise,WDT,O
to,RB,O
this,VBD,O
set,NN,O
of,TO,O
appeals,DT,O
is,NN,O
limited,IN,O
to,NNS,O
the,VBZ,O
question,VBN,O
whether,TO,O
the,DT,O
market,NN,O
committees,IN,O
have,DT,O
the,NN,O
authority,NNS,O
to,VBP,O
levy,DT,O
market,NN,O
fee,TO,O
under,VB,O
the,NN,O
markets,NN,O
act,IN,O
on,DT,O
the,NNS,O
sale,VBP,O
of,IN,O
tobacco,DT,O
and,NN,O
whether,IN,O
the,NN,O
provisions,CC,O
in,IN,O
the,DT,O
markets,NNS,O
act,IN,O
granting,DT,O
market,NNS,O
committees,VBP,O
such,VBG,O
right,NN,O
are,NNS,O
repugnant,JJ,O
to,JJ,O
the,VBP,O
provisions,JJ,O
of,TO,O
the,DT,O
tobacco,NNS,O
act,IN,O
and,DT,O
are,NN,O
therefore,NN,O
unconstitutional,CC,O
what,VBP,O
has,RB,O
been,JJ,O
placed,WP,O
before,VBZ,O
this,VBN,O
bench,VBN,O
for,IN,O
its,DT,O
consideration,NN,O
is,IN,O
the,PRP$,O
correctness,NN,O
of,VBZ,O
the,DT,O
earlier,NN,O
decision,IN,O
in,DT,O
itc,JJR,O
ltd,NN,O
and,IN,O
ors,JJ,O
v,NN,O
state,CC,O
of,NNS,O
karnataka,VBP,O
manu,NN,O
sc,IN,O
0007,NN,O
1985manu,NN,O
sc,NN,O
0007,CD,O
1985,CD,O
the,NN,O
question,CD,O
raised,CD,O
in,DT,O
that,NN,O
case,VBN,O
was,IN,O
whether,DT,O
the,NN,O
provision,VBD,O
of,IN,O
the,DT,O
karnataka,NN,O
agricultural,IN,O
produce,DT,O
marketing,NNP,O
regulation,JJ,B-LEGAL
act,NN,O
1966,NN,O
relating,NN,O
to,NN,O
the,CD,O
levy,NN,O
of,TO,O
market,DT,O
fee,NN,O
on,IN,O
tobacco,NN,O
were,NN,O
repugnant,IN,O
to,NN,O
the,VBD,O
tobacco,JJ,O
act,TO,O
the,DT,O
majority,NN,O
held,NN,O
that,DT,O
it,NN,O
was,VBD,O
the,IN,O
minority,PRP,O
view,VBD,O
was,DT,O
that,NN,O
both,NN,O
acts,VBD,O
could,IN,O
co,DT,O
exist,NNS,O
but,MD,O
the,VB,O
validity,VB,O
of,CC,O
the,DT,O
tobacco,NN,O
act,IN,O
itself,DT,O
was,NN,O
never,NN,O
in,PRP,O
dispute,VBD,O
15,RB,O
no,IN,O
doubt,NN,O
the,CD,O
states,DT,O
have,NN,O
been,DT,O
given,NNS,O
notice,VBP,O
but,VBN,O
the,VBN,O
focus,NNS,O
of,CC,O
the,DT,O
arguments,NN,O
has,IN,O
been,DT,O
on,NNS,O
the,VBZ,O
levy,VBN,O
of,IN,O
fees,DT,O
on,NN,O
the,IN,O
marketing,NNS,O
of,IN,O
tobacco,DT,O
as,NN,O
the,IN,O
tobacco,NN,O
act,IN,O
covers,DT,O
a,NN,O
much,NN,O
larger,VBZ,O
field,DT,O
a,RB,O
pronouncement,JJR,O
on,NN,O
the,DT,O
validity,NN,O
of,IN,O
all,DT,O
the,NN,O
provisions,IN,O
dealing,PDT,O
with,DT,O
a,NNS,O
variety,VBG,O
of,IN,O
activities,DT,O
under,NN,O
the,IN,O
act,NNS,O
would,IN,O
not,DT,O
be,NN,O
appropriate,MD,O
as,RB,O
it,VB,O
would,JJ,O
perhaps,IN,O
pre,PRP,O
empt,MD,O
a,RB,O
decision,VB,O
on,VB,O
aspects,DT,O
other,NN,O
than,IN,O
the,NNS,O
marketing,JJ,O
of,IN,O
tobacco,DT,O
without,NN,O
hearing,IN,O
those,NN,O
who,IN,O
might,VBG,O
be,DT,O
interested,WP,O
in,MD,O
the,VB,O
outcome,JJ,O
of,IN,O
a,DT,O
decision,NN,O
on,IN,O
those,DT,O
provisions,NN,O
16,IN,O
the,DT,O
starting,NNS,O
point,CD,O
in,DT,O
any,NN,O
controversy,NN,O
dealing,IN,O
with,DT,O
apparently,NN,O
conflicting,VBG,O
legislative,IN,O
jurisdictions,RB,O
is,VBG,O
to,JJ,O
see,NNS,O
whether,VBZ,O
the,TO,O
conflict,VB,O
can,IN,O
be,DT,O
fairly,NN,O
reconciled,MD,O
by,VB,O
reading,RB,O
the,VBN,O
entries,IN,O
to,VBG,O
which,DT,O
the,NNS,O
legislations,TO,O
are,WDT,O
referable,DT,O
together,NNS,O
and,VBP,O
by,JJ,O
interpreting,RB,O
and,CC,O
where,IN,O
necessary,VBG,O
modifying,CC,O
the,WRB,O
language,JJ,O
of,VBG,O
the,DT,O
one,NN,O
by,IN,O
that,DT,O
of,CD,O
the,IN,O
other,DT,O
it,IN,O
is,DT,O
only,JJ,O
when,PRP,O
such,VBZ,O
resolution,RB,O
is,WRB,O
not,JJ,O
possible,NN,O
that,VBZ,O
the,RB,O
courts,JJ,O
should,IN,O
be,DT,O
called,NNS,O
upon,MD,O
to,VB,O
decide,VBN,O
the,IN,O
question,TO,O
of,VB,O
legislative,DT,B-LEGAL
competence,NN,I-LEGAL
this,IN,O
principle,JJ,O
has,NN,O
been,DT,O
stressed,NN,O
in,VBZ,O
a,VBN,O
number,VBN,O
of,IN,O
cases,DT,O
by,NN,O
the,IN,O
privy,NNS,B-LEGAL
council,IN,I-LEGAL
the,DT,O
federal,NN,B-LEGAL
court,VBD,I-LEGAL
and,DT,O
more,JJ,O
recently,NN,O
by,CC,O
this,RBR,O
court,RB,O
see,IN,O
the,DT,O
central,NN,O
provinces,VBP,O
and,DT,O
berar,JJ,O
sales,NNS,O
of,CC,O
motor,JJ,O
spirit,NNS,O
lubricants,IN,O
taxation,NN,B-LEGAL
act,NN,O
1938,NNS,O
governor,NN,O
general,NN,O
in,CD,O
council,NN,O
v,NN,O
province,IN,O
of,NN,O
madras,JJ,O
state,NN,O
of,IN,O
bombay,JJ,O
v,NN,O
fn,IN,O
balsara,NN,O
air,NN,O
1951,NN,O
sc,NN,O
818,NN,O
822,CD,O
accountant,NN,O
secretarial,CD,O
services,CD,O
pvt,JJ,O
ltd,JJ,O
v,NNS,O
union,VBP,O
of,JJ,O
india,NNP,O
manu,NN,O
sc,IN,O
0005,JJ,O
1988manu,NN,O
sc,NN,O
0005,CD,O
1988,CD,O
air1988sc1708,NN,O
fatechand,CD,O
v,CD,O
state,NN,O
of,NN,O
maharashtra,NN,O
manu,NN,O
sc,IN,O
0041,JJ,O
1977manu,NN,O
sc,NN,O
0041,CD,O
1977,CD,O
1977,NN,O
2scr828,CD,O
calcutta,CD,O
gas,CD,O
company,CD,O
proprietary,NN,O
ltd,NN,O
v,NN,O
state,JJ,O
of,NN,O
west,NN,O
bengal,NN,O
manu,IN,O
sc,JJ,O
0063,JJ,O
1962manu,NNS,O
sc,JJ,O
0063,CD,O
1962,CD,O
air1962sc1044,NN,O
17,CD,O
similarly,CD,O
when,NN,O
there,CD,O
is,RB,O
an,WRB,O
apparent,EX,O
conflict,VBZ,O
between,DT,O
two,JJ,O
statutes,NN,O
enacted,IN,O
in,CD,O
valid,NNS,O
exercise,VBN,O
of,IN,O
legislative,JJ,O
powers,NN,O
under,IN,O
the,JJ,O
concurrent,NNS,B-LEGAL
list,IN,I-LEGAL
reconciliation,DT,O
must,JJ,O
be,NN,O
attempted,NN,O
only,MD,O
when,VB,O
the,VBN,O
differences,RB,O
are,WRB,O
irreconcilable,DT,O
should,NNS,O
the,VBP,O
courts,JJ,O
resort,MD,O
to,DT,O
striking,NNS,O
down,NN,O
a,TO,O
piece,VBG,O
of,RP,O
legislation,DT,B-LEGAL
see,NN,O
the,IN,O
kunnan,NN,O
devan,VBP,O
hills,DT,O
produce,NN,O
v,NN,O
the,NNS,O
state,VBP,O
of,IN,O
kerala,DT,O
manu,NN,O
sc,IN,O
0543,NN,O
1972manu,NN,O
sc,NN,O
0543,CD,O
1972,CD,O
1973,NN,O
1scr356,CD,O
m,CD,O
s,CD,O
hoechst,CD,O
pharmaceuticals,NN,O
ltd,NN,O
v,NN,O
state,NNS,O
of,VBP,O
bihar,JJ,O
manu,NN,O
sc,IN,O
0392,NN,O
1983manu,NN,O
sc,NN,O
0392,CD,O
1983,CD,O
1985,NN,O
154itr64sc,CD,O
18,CD,O
in,CD,O
my,CD,O
view,CD,O
if,IN,O
therefore,PRP$,O
the,NN,O
issue,IN,O
raised,IN,O
in,DT,O
this,NN,O
case,VBN,O
can,IN,O
be,DT,O
resolved,NN,O
by,MD,O
limiting,VB,O
our,VBN,O
consideration,IN,O
to,VBG,O
the,PRP$,O
question,NN,O
of,TO,O
conflict,DT,O
if,NN,O
any,IN,O
between,NN,O
the,IN,O
two,DT,O
entries,IN,O
in,DT,O
the,CD,O
seventh,NNS,B-LEGAL
schedule,IN,I-LEGAL
of,DT,O
the,JJ,O
constitution,NN,O
to,IN,O
which,DT,O
the,NN,O
tobacco,TO,O
act,WDT,O
and,DT,O
the,NN,O
market,NN,O
act,CC,O
are,DT,O
respectively,NN,O
relatable,NN,O
and,VBP,O
between,RB,O
the,JJ,O
provisions,CC,O
of,IN,O
the,DT,O
two,NNS,O
statutes,IN,O
which,DT,O
have,CD,O
a,NNS,O
bearing,WDT,O
on,VBP,O
the,DT,O
marketing,NN,O
of,IN,O
tobacco,DT,O
it,NN,O
is,IN,O
unnecessary,NN,O
to,PRP,O
stray,VBZ,O
into,JJ,O
those,TO,O
areas,VB,O
which,IN,O
may,DT,O
not,NNS,O
be,WDT,O
necessary,MD,O
for,RB,O
the,VB,O
disposal,JJ,O
of,IN,O
these,DT,O
appeals,NN,O
the,IN,O
discussion,DT,O
in,NNS,O
this,DT,O
opinion,NN,O
is,IN,O
therefore,DT,O
limited,NN,O
to,VBZ,O
the,RB,O
scope,JJ,O
of,TO,O
the,DT,O
two,NN,O
entries,IN,O
and,DT,O
the,CD,O
allegedly,NNS,O
conflicting,CC,O
provisions,DT,O
of,RB,O
the,JJ,O
two,NNS,O
acts,IN,O
with,DT,O
which,CD,O
we,NNS,O
are,IN,O
concerned,WDT,O
19,PRP,O
the,VBP,O
controversy,JJ,O
in,CD,O
this,DT,O
case,NN,O
to,IN,O
a,DT,O
large,NN,O
extent,TO,O
turns,DT,O
on,JJ,O
the,NN,O
meaning,VBZ,O
of,IN,O
the,DT,O
words,NN,O
industry,IN,O
as,DT,O
used,NNS,O
in,NN,O
the,IN,O
three,VBN,O
legislative,IN,O
lists,DT,O
now,CD,O
the,JJ,O
power,NNS,O
to,RB,O
legislate,DT,O
in,NN,O
respect,TO,O
of,VB,O
all,IN,O
industries,NN,O
has,IN,O
been,DT,O
given,NNS,O
under,VBZ,O
entry,VBN,O
24,VBN,O
of,IN,O
list,NN,O
ii,CD,O
to,IN,O
the,NN,O
state,NN,O
legislatures,TO,O
subject,DT,O
to,NN,O
entries,NNS,O
7,VBP,O
and,TO,O
52,NNS,O
of,CD,O
list,CC,O
i,CD,O
entries,IN,O
7,NN,O
and,NN,O
52,NNS,O
of,CD,O
list,CC,O
i,CD,O
allow,IN,O
parliament,NN,B-LEGAL
to,NN,I-LEGAL
legislate,VBP,I-LEGAL
in,NN,O
respect,TO,O
of,VB,O
particular,IN,O
industries,NN,O
namely,IN,O
such,JJ,O
industries,NNS,O
which,RB,O
are,JJ,O
declared,NNS,B-LEGAL
by,WDT,I-LEGAL
parliament,VBP,I-LEGAL
by,VBN,O
law,IN,O
to,NN,O
be,IN,O
necessary,NN,O
for,TO,O
the,VB,O
defence,JJ,O
or,IN,O
for,DT,O
the,NN,O
prosecution,CC,O
of,IN,O
war,DT,O
entry,NN,O
7,IN,O
and,NN,O
industries,NN,O
the,CD,O
control,CC,O
of,NNS,O
which,DT,O
by,NN,O
the,IN,O
union,WDT,O
is,IN,O
declared,DT,B-LEGAL
by,NN,I-LEGAL
parliament,VBZ,I-LEGAL
by,VBN,O
law,IN,O
to,NN,O
be,IN,O
expedient,NN,O
in,TO,O
the,VB,O
public,VBN,O
interest,IN,O
entry,DT,O
52,JJ,O
trade,NN,B-LEGAL
and,NN,I-LEGAL
commerce,CD,I-LEGAL
in,NN,O
and,CC,O
the,NN,O
production,IN,O
supply,CC,O
and,DT,O
distribution,NN,O
of,NN,O
the,CC,O
products,NN,O
of,IN,O
such,DT,O
controlled,NNS,O
industry,IN,O
have,JJ,O
been,VBN,O
provided,NN,O
for,VBP,O
in,VBN,O
entry,VBN,O
33,IN,O
of,IN,O
the,NN,O
concurrent,CD,B-LEGAL
list,IN,I-LEGAL
wherein,DT,O
both,JJ,O
parliament,NN,B-LEGAL
and,IN,O
the,DT,O
state,NN,O
legislatures,CC,O
are,DT,O
competent,NN,O
to,NNS,O
legislate,VBP,O
a,JJ,O
constitution,TO,O
bench,VB,O
of,DT,O
this,NN,O
court,NN,O
in,IN,O
the,DT,O
calcutta,NN,O
gas,IN,O
company,DT,O
prop,NN,O
ltd,NN,O
v,NN,O
the,NN,O
state,NN,O
of,VBD,O
west,DT,O
bengal,NN,O
has,IN,O
held,JJ,O
that,NN,O
the,VBZ,O
expression,VBN,O
industry,IN,O
in,DT,O
all,NN,O
the,NN,O
three,IN,O
lists,PDT,O
must,DT,O
be,CD,O
given,NNS,O
the,MD,O
same,VB,O
meaning,VBN,O
and,DT,O
that,JJ,O
since,NN,O
ordinarily,CC,O
industry,IN,O
is,IN,O
in,RB,O
